小微企业ID,主管税务机关,所欠税种,欠税属期,欠税余额(元),具体日期
Q00255,苏州市昆山地方税务局,城市维护建设税,,1000,Jun-15
Q00255,江苏省地方税务局,城市维护建设税,,1000,Jun-15
Q00255,江苏省地方税务局,城市维护建设税,,1000,Apr-15
Q00255,苏州市昆山地方税务局,城市维护建设税,,1000,Mar-15
Q00255,江苏省地方税务局,城市维护建设税,,1000,Mar-15
Q00285,,增值税,,23000,Jan-17
Q00288,苏州市国家税务局,增值税,,6000,Oct-16
Q00288,苏州市地方税务局,印花税,,0,Jul-16
Q00288,苏州市地方税务局,城市维护建设税,,0,Jul-16
Q00288,苏州市地方税务局,印花税,,0,Apr-16
Q00288,苏州市地方税务局,城市维护建设税,,0,Apr-16
Q00288,苏州市地方税务局,10111|印花税,2015/12/1,0,Jan-16
Q00288,苏州市地方税务局,10109|城市维护建设税,2015/12/1,0,Jan-16
Q00291,苏州市国家税务局,企业所得税,,2000,Oct-16
Q00292,江苏省昆山市国家税务局,增值税,,3000,Apr-17
Q00292,昆山市国家税务局,增值税,,3000,Jan-17
Q00295,,个人所得税,,0,Apr-18
Q00330,常熟市地方税务局,印花税,,0,Jul-12
Q00330,江苏省地方税务局,印花税,,0,Apr-12
Q00330,,印花税,,0,Jan-12
Q00330,常熟市地方税务局,印花税,,0,Oct-11
Q00341,昆山市地方税务局,企业所得税,,9000,Oct-15
Q00365,常熟市地方税务局,城市维护建设税,,1000,Jul-16
Q00371,,房产税,,3000,Jan-12
Q00489,相城市地方税务局,企业所得税,,1000,Jul-16
Q00505,张家港市地方税务局,10106|个人所得税,2014/12/1,43000,Apr-16
Q00505,张家港市地方税务局,10106|个人所得税,2013/12/1,69000,Apr-16
Q00505,,增值税,,97000,Jan-16
Q00505,,增值税,,93000,Oct-15
Q00505,,增值税,,68000,Jul-15
Q00519,江苏省昆山市国家税务局,企业所得税,,58000,Oct-17
Q00519,,企业所得税,,0,Jul-16
Q00521,江苏省昆山市国家税务局,增值税,,12000,Apr-18
Q00521,,城市维护建设税,,1000,Apr-18
Q00521,,城市维护建设税,,0,Jan-18
Q00521,江苏省昆山市国家税务局,增值税,,10000,Jul-17
Q00521,江苏省昆山市国家税务局,增值税,,10000,Apr-17
Q00526,,印花税,,0,Jan-18
Q00527,张家港市地方税务局,城镇土地使用税,,7000,Apr-16
Q00527,张家港市地方税务局,房产税,,4000,Apr-16
Q00527,张家港市地方税务局,城市维护建设税,,1000,Apr-16
Q00527,,增值税,,40000,Jan-16
Q00527,,增值税,,2000,Oct-15
Q00527,,增值税,,53000,Jul-15
Q00528,江苏省太仓市国家税务局,增值税,,36000,Sep-16
Q00528,太仓市地方税务局,10109|城市维护建设税,2016/8/1,1000,Jul-15
Q00529,苏州市国家税务局,增值税,,1000,Oct-16
Q00529,苏州市地方税务局,城市维护建设税,,0,Jul-16
Q00530,苏州市国家税务局,增值税,,6000,Oct-16
Q00531,江苏省昆山市国家税务局,增值税,,1000,Apr-17
Q00534,,增值税,,0,Jul-16
Q00534,昆山市国家税务局,增值税,,0,Apr-16
Q00534,,增值税,,0,Mar-16
Q00534,昆山市国家税务局,增值税,,18000,Jan-16
Q00534,昆山市国家税务局,增值税,,15000,Oct-15
Q00535,苏州市昆山地方税务局,印花税,,0,Apr-17
Q00538,昆山市地方税务局,10111|印花税,2016/5/1,0,Aug-16
Q00538,昆山市地方税务局,印花税,,0,Jul-16
Q00538,昆山市地方税务局,印花税,,0,Apr-16
Q00538,昆山市地方税务局,个人所得税,,0,Apr-16
Q00538,昆山市地方税务局,城市维护建设税,,0,Apr-16
Q00538,江苏省苏州地方税务局,印花税,,0,Apr-16
Q00538,江苏省苏州地方税务局,个人所得税,,0,Apr-16
Q00538,江苏省苏州地方税务局,城市维护建设税,,0,Apr-16
Q00538,昆山市国家税务局,增值税,,0,Apr-16
Q00538,,增值税,,0,Mar-16
Q00573,吴忠市地方税务局,10111|印花税,2016/8/1,0,Jan-15
Q00588,太仓市地方税务局,城镇土地使用税,,17000,Jul-16
Q00588,太仓市地方税务局,房产税,,13000,Jul-16
Q00588,太仓市地方税务局,城镇土地使用税,,25000,Apr-16
Q00588,太仓市地方税务局,房产税,,13000,Apr-16
Q00588,太仓市地方税务局,城镇土地使用税,,21000,Jan-16
Q00588,太仓市地方税务局,房产税,,13000,Jan-16
Q00588,太仓市地方税务局,城镇土地使用税,,17000,Oct-15
Q00588,太仓市地方税务局,房产税,,13000,Oct-15
Q00588,太仓市地方税务局,城镇土地使用税,,25000,Sep-15
Q00588,太仓市地方税务局,房产税,,13000,Sep-15
Q00588,太仓市地方税务局,10112|城镇土地使用税,2011/12/1,17000,Jul-15
Q00588,太仓市地方税务局,10110|房产税,2011/12/1,13000,Jul-15
Q00588,苏州市地方税务局,城镇土地使用税,,17000,Jul-14
Q00588,苏州市地方税务局,房产税,,13000,Jul-14
Q00588,苏州市地方税务局,城镇土地使用税,,17000,Apr-14
Q00588,苏州市地方税务局,房产税,,13000,Apr-14
Q00588,苏州市地方税务局,城市维护建设税,,0,Jan-14
Q00588,苏州市地方税务局,房产税,,13000,Jan-14
Q00588,苏州市地方税务局,城镇土地使用税,,17000,Jan-14
Q00588,太仓市地方税务局,城市维护建设税,,0,Jul-12
Q00588,,城镇土地使用税,,17000,Apr-12
Q00633,常熟市地方税务局,城市维护建设税,,0,Jul-12
Q00638,昆山市地方税务局,10109|城市维护建设税,2016/4/1,2000,Aug-16
Q00638,昆山市地方税务局,城市维护建设税,,2000,Jul-16
Q00668,,个人所得税,,0,Apr-12
Q00672,苏州市昆山地方税务局,城市维护建设税,,0,Apr-17
Q00707,苏州市地方税务局相城分局,个人所得税,,2000,Oct-15
Q00727,,印花税,,0,Jan-12
Q00732,苏州市地方税务局,个人所得税,,49000,Jul-14
Q00756,江苏省地方税务局,教育费附加,,91000,Dec-17
Q00756,江苏省地方税务局,房产税,,388000,Dec-17
Q00756,江苏省地方税务局,城镇土地使用税,,332000,Dec-17
Q00756,江苏省地方税务局,城市维护建设税,,213000,Dec-17
Q00756,江苏省地方税务局,地方教育附加,,61000,Dec-17
Q00756,江苏省地方税务局,印花税,,6000,Dec-17
Q00756,江苏省地方税务局,个人所得税,,3000,Dec-17
Q00756,江苏省地方税务局,教育费附加,,61000,Sep-17
Q00756,江苏省地方税务局,房产税,,259000,Sep-17
Q00756,江苏省地方税务局,城镇土地使用税,,222000,Sep-17
Q00756,江苏省地方税务局,城市维护建设税,,143000,Sep-17
Q00756,江苏省地方税务局,地方教育附加,,41000,Sep-17
Q00756,江苏省地方税务局,印花税,,4000,Sep-17
Q00756,江苏省地方税务局,个人所得税,,3000,Sep-17
Q00756,江苏省地方税务局,教育费附加,,61000,Jun-17
Q00756,江苏省地方税务局,房产税,,259000,Jun-17
Q00756,江苏省地方税务局,城镇土地使用税,,222000,Jun-17
Q00756,江苏省地方税务局,城市维护建设税,,143000,Jun-17
Q00756,江苏省地方税务局,地方教育附加,,41000,Jun-17
Q00756,江苏省地方税务局,印花税,,4000,Jun-17
Q00756,江苏省地方税务局,个人所得税,,3000,Jun-17
Q00756,常熟市国家税务局,房产税,,388000,Apr-17
Q00756,常熟市国家税务局,城镇土地使用税,,332000,Apr-17
Q00756,常熟市国家税务局,城市维护建设税,,202000,Apr-17
Q00756,常熟市国家税务局,印花税,,6000,Apr-17
Q00756,常熟市国家税务局,个人所得税,,3000,Apr-17
Q00756,常熟市地方税务局,10112|城镇土地使用税,2016/4/1,111000,Aug-16
Q00756,常熟市地方税务局,10111|印花税,2016/7/1,0,Aug-16
Q00756,常熟市地方税务局,10111|印花税,2016/6/1,0,Aug-16
Q00756,常熟市地方税务局,10110|房产税,2016/4/1,129000,Aug-16
Q00756,常熟市地方税务局,10109|城市维护建设税,2016/5/1,104000,Aug-16
Q00756,常熟市地方税务局,10106|个人所得税,2016/8/1,1000,Aug-16
Q00756,常熟市地方税务局,10106|个人所得税,2016/7/1,1000,Aug-16
Q00756,常熟市地方税务局,10106|个人所得税,2016/6/1,1000,Aug-16
Q00756,常熟市地方税务局,城市维护建设税,,104000,Jul-16
Q00756,常熟市国家税务局,增值税,,1376000,Jun-16
Q00761,张家港市地方税务局,城镇土地使用税,,27000,Jul-16
Q00761,张家港市地方税务局,房产税,,11000,Jul-16
Q00761,张家港市地方税务局,城镇土地使用税,,27000,Apr-16
Q00761,张家港市地方税务局,房产税,,11000,Apr-16
Q00761,张家港市地方税务局,10111|印花税,2016/8/1,0,Apr-16
Q00761,张家港市地方税务局,10110|房产税,2014/10/1,5000,Apr-16
Q00761,张家港市地方税务局,10112|城镇土地使用税,2014/10/1,13000,Apr-16
Q00761,张家港市地方税务局,城镇土地使用税,,27000,Jan-16
Q00761,张家港市地方税务局,房产税,,11000,Jan-16
Q00761,,增值税,,59000,Oct-15
Q00761,张家港市地方税务局,城镇土地使用税,,27000,Oct-15
Q00761,张家港市地方税务局,房产税,,11000,Oct-15
Q00761,张家港市地方税务局,城镇土地使用税,,13000,Sep-15
Q00761,张家港市地方税务局,房产税,,5000,Sep-15
Q00767,苏州市地方税务局,城市维护建设税,,5000,Jan-16
Q00767,苏州市地方税务局,城市维护建设税,,1000,Oct-15
Q00778,,印花税,,0,Jan-18
Q00778,江苏省昆山市地方税务局,印花税,,0,Oct-17
Q00779,江苏省昆山市国家税务局,增值税,,7000,Apr-18
Q00779,,个人所得税,,1000,Apr-18
Q00779,,城市维护建设税,,1000,Apr-18
Q00782,苏州市昆山地方税务局,城市维护建设税,,0,Apr-17
Q00782,,城市维护建设税,,0,Jan-17
Q00782,昆山市地方税务局,10109|城市维护建设税,2016/8/1,0,Aug-16
Q00786,,印花税,,0,Apr-18
Q00787,,企业所得税,,0,Jul-16
Q00788,昆山市国家税务局,增值税,,3000,Jan-17
Q00789,,印花税,,0,Apr-18
Q00789,江苏省昆山市国家税务局,城市维护建设税,,2000,Jul-17
Q00789,江苏省昆山市国家税务局,增值税,,8000,Apr-17
Q00789,苏州市昆山地方税务局,印花税,,0,Apr-17
Q00789,苏州市昆山地方税务局,城市维护建设税,,2000,Apr-17
Q00789,昆山市国家税务局,增值税,,8000,Jan-17
Q00789,,城市维护建设税,,2000,Jan-17
Q00789,昆山市地方税务局,10109|城市维护建设税,2015/12/1,2000,Aug-16
Q00789,昆山市地方税务局,印花税,,0,Jul-16
Q00789,昆山市地方税务局,城市维护建设税,,2000,Jul-16
Q00789,昆山市地方税务局,个人所得税,,0,Jul-16
Q00789,,企业所得税,,0,Jul-16
Q00789,昆山市地方税务局,印花税,,0,Apr-16
Q00789,昆山市地方税务局,个人所得税,,0,Apr-16
Q00789,昆山市地方税务局,城市维护建设税,,2000,Apr-16
Q00789,江苏省苏州地方税务局,印花税,,0,Apr-16
Q00789,江苏省苏州地方税务局,个人所得税,,0,Apr-16
Q00789,江苏省苏州地方税务局,城市维护建设税,,2000,Apr-16
Q00789,昆山市国家税务局,企业所得税,,0,Apr-16
Q00789,,企业所得税,,0,Mar-16
Q00790,江苏省昆山市国家税务局,增值税,,34000,Jul-17
Q00797,江苏省昆山市国家税务局,企业所得税,,372000,Apr-18
Q00797,江苏省昆山市国家税务局,企业所得税,,372000,Jan-18
Q00797,江苏省昆山市国家税务局,企业所得税,,372000,Oct-17
Q00797,江苏省昆山市国家税务局,企业所得税,,373000,Jul-17
Q00800,苏州市昆山地方税务局,印花税,,0,Apr-17
Q00800,苏州市地方税务局,印花税,,0,Apr-14
Q00852,常熟市地方税务局,城市维护建设税,,1000,Jul-12
Q00852,江苏省地方税务局,城市维护建设税,,1000,Apr-12
Q00852,,城市维护建设税,,1000,Jan-12
Q00852,,城市维护建设税,,1000,Oct-11
Q00865,苏州市地方税务局吴中区分局,企业所得税,,0,Oct-15
Q00887,,个人所得税,,0,Jan-17
Q00888,常州市地方税务局,个人所得税,,0,Jul-12
Q00888,江苏省地方税务局,个人所得税,,0,Apr-12
Q00888,江苏省地方税务局,印花税,,1000,Jan-12
Q00889,常熟市地方税务局,企业所得税,,0,Oct-11
Q00910,江苏省地方税务局,城市维护建设税,,0,Apr-12
Q00910,江苏省地方税务局,城建税,,1000,Oct-11
Q00947,江苏省地方税务局,印花税,,0,Apr-12
Q00947,,印花税,,0,Jan-12
Q00948,,城市维护建设税,,0,Oct-11
Q01002,,企业所得税,,8912000,Jul-17
Q01002,江苏省苏州市国家税务局,企业所得税,,8912000,Apr-17
Q01002,江苏省苏州市国家税务局,企业所得税,,9412000,Jan-17
Q01002,江苏省苏州市国家税务局,企业所得税,,10912000,Oct-16
Q01018,江苏省昆山市国家税务局,增值税,,215000,Apr-18
Q01018,江苏省地方税务局,教育费附加,,6000,Dec-17
Q01018,江苏省地方税务局,城市维护建设税,,11000,Dec-17
Q01018,江苏省地方税务局,地方教育附加,,4000,Dec-17
Q01018,江苏省地方税务局,印花税,,0,Dec-17
Q01018,江苏省昆山市国家税务局,增值税,,215000,Oct-17
Q01018,江苏省地方税务局,教育费附加,,6000,Sep-17
Q01018,江苏省地方税务局,城市维护建设税,,11000,Sep-17
Q01018,江苏省地方税务局,地方教育附加,,4000,Sep-17
Q01018,江苏省地方税务局,印花税,,0,Sep-17
Q01018,江苏省昆山市国家税务局,增值税,,215000,Jul-17
Q01018,江苏省昆山市国家税务局,印花税,,0,Jul-17
Q01018,江苏省昆山市国家税务局,城市维护建设税,,11000,Jul-17
Q01018,江苏省昆山市国家税务局,增值税,,215000,Apr-17
Q01018,苏州市昆山地方税务局,城市维护建设税,,11000,Apr-17
Q01018,苏州市昆山地方税务局,印花税,,0,Apr-17
Q01018,昆山市国家税务局,增值税,,151000,Jan-17
Q01018,,印花税,,0,Jan-17
Q01018,,城市维护建设税,,11000,Jan-17
Q01018,昆山市地方税务局,10111|印花税,2016/6/1,0,Aug-16
Q01018,昆山市地方税务局,10109|城市维护建设税,2016/6/1,4000,Aug-16
Q01018,昆山市地方税务局,城市维护建设税,,0,Apr-16
Q01018,昆山市地方税务局,印花税,,0,Apr-16
Q01018,江苏省苏州地方税务局,城市维护建设税,,0,Apr-16
Q01018,江苏省苏州地方税务局,印花税,,0,Apr-16
Q01018,昆山市国家税务局,增值税,,0,Apr-16
Q01018,,增值税,,0,Mar-16
Q01018,昆山市地方税务局,印花税,,0,Jan-16
Q01020,昆山市地方税务局,印花税,,0,Oct-15
Q01020,昆山市地方税务局,印花税,,0,Sep-15
Q01021,,增值税,,0,Jan-17
Q01026,江苏省昆山市国家税务局,印花税,,0,Jul-17
Q01026,苏州市昆山地方税务局,印花税,,0,Apr-17
Q01032,,印花税,,0,Apr-18
Q01038,昆山市国家税务局,企业所得税,,0,Apr-16
Q01038,,企业所得税,,0,Mar-16
Q01042,,增值税,,0,Jul-16
Q01042,昆山市国家税务局,增值税,,4000,Oct-15
Q01047,昆山市地方税务局,印花税,,0,Oct-15
Q01047,昆山市地方税务局,印花税,,0,Sep-15
Q01074,常州市地方税务局,印花税,,0,Jul-12
Q01077,苏州市地方税务局,印花税,,0,Jul-14
Q01077,苏州市地方税务局,印花税,,0,Apr-14
Q01106,常熟市地方税务局,印花税,,0,Jul-12
Q01106,江苏省地方税务局,印花税,,0,Apr-12
Q01131,昆山市地方税务局,企业所得税,,2000,Jul-16
Q01194,相城国家税务局,企业所得税,,1000,Jun-17
Q01212,苏州市地方税务局,印花税,,0,Jul-14
Q01215,常熟市地方税务局,印花税,,0,Jul-12
Q01239,江苏省昆山市国家税务局,增值税,,10000,Jan-18
Q01259,常熟市地方税务局,印花税,,0,Jul-16
Q01268,江苏省昆山市国家税务局,增值税,,50000,Apr-18
Q01268,江苏省昆山市国家税务局,增值税,,46000,Jan-18
Q01268,,城市维护建设税,,1000,Jan-18
Q01268,江苏省昆山市国家税务局,增值税,,18000,Jul-17
Q01268,苏州市昆山地方税务局,个人所得税,,0,Apr-17
Q01268,,个人所得税,,0,Jan-17
Q01268,昆山市地方税务局,10106|个人所得税,2016/8/1,0,Aug-16
Q01274,太仓市国家税务局,增值税,,1000,Jun-16
Q01280,,印花税,,0,Apr-18
Q01287,,个人所得税,,0,Apr-18
Q01287,,个人所得税,,0,Jan-18
Q01287,江苏省昆山市地方税务局,个人所得税,,0,Oct-17
Q01287,江苏省昆山市国家税务局,个人所得税,,0,Jul-17
Q01288,苏州市昆山地方税务局,印花税,,0,Apr-17
Q01375,,城市维护建设税,,1000,Apr-12
Q01375,常熟市地方税务局,城市维护建设税,,1000,Jan-12
Q01383,,营业税,,2000,Jan-12
Q01383,,营业税,,2000,Oct-11
Q01448,常熟市地方税务局,印花税,,0,Jul-12
Q01450,苏州市地方税务局吴中分局,城市维护建设税,,1000,Sep-15
Q01450,苏州市地方税务局,城市维护建设税,,1000,Jul-14
Q01450,苏州市地方税务局,城市维护建设税,,1000,Jan-14
Q01450,常熟市地方税务局,城市维护建设税,,0,Oct-11
Q01467,,营业税,,0,Oct-11
Q01518,江苏省太仓市国家税务局,增值税,,7000,Sep-16
Q01518,太仓市国家税务局,增值税,,10000,Jun-16
Q01528,江苏省昆山市国家税务局,增值税,,3000,Apr-18
Q01528,江苏省昆山市国家税务局,增值税,,3000,Jan-18
Q01528,江苏省昆山市国家税务局,增值税,,3000,Oct-17
Q01528,江苏省昆山市国家税务局,增值税,,3000,Jul-17
Q01528,江苏省昆山市国家税务局,增值税,,3000,Apr-17
Q01528,昆山市国家税务局,增值税,,3000,Jan-17
Q01529,江苏省昆山市国家税务局,增值税,,26000,Apr-18
Q01529,,城市维护建设税,,3000,Apr-18
Q01529,,印花税,,0,Apr-18
Q01529,江苏省昆山市国家税务局,增值税,,26000,Jan-18
Q01529,,城市维护建设税,,3000,Jan-18
Q01529,江苏省昆山市地方税务局,城市维护建设税,,2000,Oct-17
Q01529,江苏省昆山市国家税务局,增值税,,14000,Jul-17
Q01529,江苏省昆山市国家税务局,城市维护建设税,,2000,Jul-17
Q01529,江苏省昆山市国家税务局,增值税,,14000,Apr-17
Q01529,苏州市昆山地方税务局,城市维护建设税,,2000,Apr-17
Q01529,苏州市昆山地方税务局,个人所得税,,0,Apr-17
Q01529,昆山市国家税务局,增值税,,20000,Jan-17
Q01529,,城市维护建设税,,1000,Jan-17
Q01529,,个人所得税,,0,Jan-17
Q01529,,增值税,,0,Jul-16
Q01529,昆山市地方税务局,城市维护建设税,,0,Apr-16
Q01529,江苏省苏州地方税务局,城市维护建设税,,0,Apr-16
Q01529,昆山市地方税务局,城市维护建设税,,0,Jan-16
Q01529,昆山市地方税务局,印花税,,0,Oct-15
Q01529,昆山市地方税务局,城市维护建设税,,0,Oct-15
Q01529,昆山市地方税务局,印花税,,0,Sep-15
Q01536,,增值税,,8000,Jul-16
Q01538,苏州市国家税务局,增值税,,0,Aug-17
Q01546,,企业所得税,,0,Jul-16
Q01588,苏州市地方税务局吴中分局,印花税,,0,Sep-15
Q01590,苏州市地方税务局,印花税,,0,Oct-15
Q01610,张家港市地方税务局,个人所得税,,0,Oct-15
Q01620,常熟市地方税务局,个人所得税,,0,Oct-15
Q01620,常熟市地方税务局,个人所得税,,0,Sep-15
Q01646,太仓市地方税务局,个人所得税,,0,Apr-16
Q01646,太仓市地方税务局,个人所得税,,0,Oct-15
Q01646,太仓市地方税务局,城市维护建设税,,5000,Jul-12
Q01646,,城市维护建设税,,5000,Apr-12
Q01646,,个人所得税,,11000,Jan-12
Q01646,常熟市地方税务局,个人所得税,,9000,Oct-11
Q01664,太仓市地方税务局,房产税,,13000,Jul-16
Q01693,吴中市地方税务局,企业所得税,,1000,Jul-16
Q01693,吴忠市地方税务局,10104|企业所得税,2015/1/1,1000,Jan-15
Q01694,苏州市国家税务局,印花税,,0,Sep-15
Q01694,苏州市地方税务局,印花税,,0,Jul-14
Q01694,苏州市地方税务局,印花税,,0,Apr-14
Q01694,苏州市地方税务局,印花税,,0,Jan-14
Q01726,,个人所得税,,0,Apr-12
Q01727,江苏省昆山市国家税务局,增值税,,8000,Apr-17
Q01727,苏州市昆山地方税务局,印花税,,0,Apr-17
Q01727,苏州市昆山地方税务局,城市维护建设税,,0,Apr-17
Q01727,昆山市国家税务局,增值税,,6000,Jan-17
Q01727,,城市维护建设税,,0,Jan-17
Q01727,,印花税,,0,Jan-17
Q01727,,增值税,,0,Jul-16
Q01727,昆山市国家税务局,增值税,,0,Apr-16
Q01727,,增值税,,0,Mar-16
Q01738,,增值税,,12000,Jul-15
Q01747,相城国家税务局,10110|房产税,,25000,Jun-17
Q01747,相城市地方税务局,房产税,,25000,Jul-16
Q01747,相城市地方税务局,10110|房产税,2016/1/1,25000,Jan-12
Q01777,,城市维护建设税,,1000,Apr-18
Q01777,,城市维护建设税,,1000,Jan-18
Q01777,江苏省昆山市国家税务局,城市维护建设税,,0,Jul-17
Q01777,江苏省昆山市国家税务局,个人所得税,,0,Jul-17
Q01777,苏州市昆山地方税务局,城市维护建设税,,0,Apr-17
Q01777,苏州市昆山地方税务局,个人所得税,,0,Apr-17
Q01777,,个人所得税,,0,Jan-17
Q01777,,城市维护建设税,,0,Jan-17
Q01777,昆山市地方税务局,10109|城市维护建设税,2016/6/1,0,Aug-16
Q01777,昆山市地方税务局,10106|个人所得税,2016/4/1,0,Aug-16
Q01777,昆山市地方税务局,个人所得税,,0,Jul-16
Q01777,昆山市国家税务局,增值税,,6000,Jan-16
Q01777,昆山市国家税务局,增值税,,15000,Oct-15
Q01778,江苏省昆山市国家税务局,增值税,,96000,Oct-17
Q01778,江苏省昆山市地方税务局,城市维护建设税,,1000,Oct-17
Q01778,江苏省昆山市国家税务局,增值税,,104000,Jul-17
Q01778,江苏省昆山市国家税务局,城市维护建设税,,1000,Jul-17
Q01778,江苏省昆山市国家税务局,增值税,,4000,Apr-17
Q01778,苏州市昆山地方税务局,城市维护建设税,,1000,Apr-17
Q01778,昆山市国家税务局,增值税,,4000,Jan-17
Q01778,,城市维护建设税,,1000,Jan-17
Q01778,昆山市地方税务局,10109|城市维护建设税,2016/8/1,0,Aug-16
Q01778,昆山市地方税务局,10109|城市维护建设税,2015/12/1,1000,Aug-16
Q01778,昆山市地方税务局,城市维护建设税,,1000,Jul-16
Q01778,昆山市地方税务局,城市维护建设税,,1000,Apr-16
Q01778,江苏省苏州地方税务局,城市维护建设税,,1000,Apr-16
Q01779,苏州市国家税务局,增值税,,0,Oct-17
Q01779,苏州市国家税务局,增值税,,0,Aug-17
Q01779,苏州市地方税务局,城市维护建设税,,2000,Apr-16
Q01781,,印花税,,0,Apr-18
Q01781,,印花税,,0,Jan-18
Q01781,江苏省昆山市地方税务局,印花税,,0,Oct-17
Q01781,江苏省昆山市国家税务局,印花税,,0,Jul-17
Q01781,苏州市昆山地方税务局,印花税,,0,Apr-17
Q01781,,印花税,,0,Jan-17
Q01781,昆山市地方税务局,10111|印花税,2016/7/1,0,Aug-16
Q01784,江苏省昆山市国家税务局,增值税,,108000,Apr-18
Q01784,江苏省昆山市国家税务局,增值税,,108000,Jan-18
Q01784,江苏省昆山市国家税务局,增值税,,108000,Oct-17
Q01784,江苏省昆山市国家税务局,增值税,,108000,Jul-17
Q01788,江苏省昆山市地方税务局,房产税,,0,Oct-17
Q01788,江苏省昆山市地方税务局,城镇土地使用税,,1000,Oct-17
Q01788,江苏省昆山市国家税务局,城镇土地使用税,,1000,Jul-17
Q01788,江苏省昆山市国家税务局,房产税,,0,Jul-17
Q01788,苏州市昆山地方税务局,房产税,,0,Apr-17
Q01788,苏州市昆山地方税务局,城镇土地使用税,,1000,Apr-17
Q01788,,城镇土地使用税,,1000,Jan-17
Q01788,,房产税,,0,Jan-17
Q01790,苏州市国家税务局,企业所得税,,0,Oct-17
Q01790,苏州市国家税务局,企业所得税,,0,Aug-17
Q01798,苏州市昆山地方税务局,印花税,,0,Apr-17
Q01800,,增值税,,14000,Nov-16
Q01800,,30216|地方教育附加,2016/8/1,0,Jan-12
Q01800,,30203|教育费附加,2016/8/1,0,Jan-12
Q01800,相城市地方税务局,10109|城市维护建设税,2016/8/1,1000,Jan-12
Q01814,苏州市地方税务局吴中区分局,城市维护建设税,,1000,Jul-12
Q01814,,城市维护建设税,,1000,Apr-12
Q01814,,城市维护建设税,,1000,Jan-12
Q01814,常熟市地方税务局,城市维护建设税,,1000,Oct-11
Q01815,苏州市地方税务局相城区分局,城市维护建设税,,0,Oct-15
Q01815,苏州市地方税务局相城区分局,营业税,,5000,Oct-15
Q01815,苏州市地方税务局相城分局,城市维护建设税,,0,Sep-15
Q01815,苏州市地方税务局相城分局,营业税,,5000,Sep-15
Q01835,苏州市地方税务局,印花税,,0,Apr-14
Q01848,常州市地方税务局,城市维护建设税,,0,Jul-12
Q01893,苏州市地方税务局,印花税,,0,Jul-16
Q01893,苏州市地方税务局,印花税,,0,Apr-16
Q01893,江苏省苏州地方税务局,印花税,,0,Apr-16
Q01894,昆山市地方税务局,印花税,,0,Apr-16
