小微企业ID,诉讼地位,审理机关,涉案事由,公告类型,日期类别,具体日期
Q00013,,安徽省高级人民法院,合同纠纷,开庭信息,开庭时间,2015年6月
Q00020,被告,上海市浦东新区人民法院,服务合同纠纷,开庭信息,开庭时间,2017年7月
Q00038,原告,江苏省太仓市人民法院,追索劳动报酬纠纷,开庭信息,开庭时间,2017年4月
Q00064,原告/上诉人,上海市闵行区人民法院,买卖合同纠纷,开庭信息,开庭时间,2014年10月
Q00065,上诉人,江苏省苏州市中级人民法院,建设工程施工合同纠纷,开庭信息,开庭时间,2017年12月
Q00075,原告,江苏省太仓市人民法院,小额借款合同纠纷,开庭信息,开庭时间,2017年11月
Q00075,原告,江苏省太仓市人民法院,小额借款合同纠纷,开庭信息,开庭时间,2016年9月
Q00075,原告,江苏省太仓市人民法院,小额借款合同纠纷,开庭信息,开庭时间,2016年1月
Q00075,原告,江苏省张家港市人民法院,小额借款合同纠纷,审理进度,立案时间,2015年3月
Q00075,原告,江苏省太仓市人民法院,小额借款合同纠纷,开庭信息,开庭时间,2015年3月
Q00075,原告,江苏省张家港市人民法院,小额借款合同纠纷,审理进度,立案时间,2015年2月
Q00075,原告,江苏省太仓市人民法院,,开庭信息,开庭时间,2014年11月
Q00075,原告,江苏省太仓市人民法院,,开庭信息,开庭时间,2014年10月
Q00075,原告,江苏省太仓市人民法院,债权人撤销权纠纷,开庭信息,开庭时间,2014年7月
Q00075,原告,江苏省太仓市人民法院,小额借款合同纠纷,开庭信息,开庭时间,2014年6月
Q00078,当事人,江苏省常州市天宁区人民法院,,公示催告,送达时间,2017年4月
Q00078,原告,江苏省张家港市人民法院,买卖合同纠纷,审理进度,立案时间,2014年12月
Q00094,当事人,河北省秦皇岛市北戴河区人民法院,买卖合同纠纷,开庭信息,开庭时间,2016年10月
Q00098,被告,江苏省苏州市吴中区人民法院,行政案件,开庭信息,开庭时间,2017年7月
Q00101,申请人:原告,江苏省苏州市相城区人民法院,,裁判文书,送达时间,2017年8月
Q00101,原告,江苏省苏州市相城区人民法院,房屋租赁合同纠纷,审理进度,立案时间,2014年12月
Q00103,被上诉人,江苏省苏州市中级人民法院,商品房预售合同纠纷,开庭信息,开庭时间,2017年11月
Q00103,当事人,江苏省苏州市吴中区人民法院,房屋租赁合同纠纷;旅游,开庭信息,开庭时间,2016年5月
Q00103,原告,江苏省苏州市吴中区人民法院,房屋租赁合同纠纷,开庭信息,开庭时间,2015年4月
Q00103,原告,江苏省高级人民法院,,开庭信息,开庭时间,2014年10月
Q00103,,江苏省苏州市吴中区人民法院,,开庭信息,开庭时间,2014年5月
Q00126,原告,上海市第一中级人民法院,买卖合同纠纷,开庭信息,开庭时间,2017年6月
Q00126,被告,上海市松江区人民法院,买卖合同纠纷,开庭信息,开庭时间,2017年2月
Q00126,原告,江苏省苏州市吴江区人民法院,,裁判文书,送达时间,2016年11月
Q00126,原告,江苏省苏州市吴江区人民法院,,起诉状副本及开庭传票,送达时间,2016年8月
Q00126,当事人,江苏省苏州市吴江区人民法院,,诉状副本及开庭传票,送达时间,2014年9月
Q00126,,江苏省宜兴市人民法院,干传芬、江苏省博冠建设工程有限公司、江苏恒丰建设集团有限公司身体权纠纷,开庭信息,开庭时间,2014年7月
Q00130,原告,江苏省昆山市人民法院,,开庭信息,开庭时间,2015年2月
Q00161,原告/上诉人,上海市青浦区人民法院,买卖合同纠纷,开庭信息,开庭时间,2015年11月
Q00162,被告,江苏省苏州市虎丘区人民法院,商品房销售合同纠纷,审理进度,立案时间,2014年6月
Q00163,被告,江苏省苏州市吴中区人民法院,机动车交通事故责任纠纷,审理进度,立案时间,2014年11月
Q00207,被告,浙江省湖州市吴兴区人民法院,买卖合同纠纷,开庭信息,开庭时间,2018年4月
Q00207,被告,浙江省湖州市吴兴区人民法院,买卖合同纠纷,开庭信息,开庭时间,2018年3月
Q00207,被告,浙江省湖州市吴兴区人民法院,,审理进度,立案时间,2018年2月
Q00214,申请人:原告,江苏省张家港市人民法院,,裁判文书,送达时间,2017年12月
Q00214,申请人,江苏省张家港市人民法院,,起诉状副本及开庭传票,送达时间,2017年8月
Q00214,原告,江苏省江阴市人民法院,买卖合同纠纷,开庭信息,开庭时间,2016年3月
Q00216,原告,上海市嘉定区人民法院,承揽合同纠纷,开庭信息,开庭时间,2016年9月
Q00219,被告,江苏省宜兴市人民法院,,开庭信息,开庭时间,2014年11月
Q00229,被告,江苏省苏州市相城区人民法院,买卖合同纠纷,审理进度,立案时间,2014年12月
Q00230,申请执行人,浙江省宁波市鄞州区人民法院,,立案信息,立案时间,2010年12月
Q00230,原告,浙江省宁波市鄞州区人民法院,,立案信息,立案时间,2010年8月
Q00236,当事人,江苏省昆山市人民法院,,诉状副本及开庭传票,送达时间,2015年10月
Q00236,当事人,江苏省昆山市人民法院,,诉状副本及开庭传票,送达时间,2014年12月
Q00236,被告,江苏省张家港市人民法院,提供劳务者受害责任纠纷,审理进度,立案时间,2014年8月
Q00250,被告,上海市嘉定区人民法院,买卖合同纠纷,开庭信息,开庭时间,2016年11月
Q00255,,江苏省昆山市人民法院,,开庭信息,开庭时间,2014年12月
Q00255,被告,江苏省张家港市人民法院,车辆租赁合同纠纷,审理进度,立案时间,2014年11月
Q00256,原告/上诉人,上海市奉贤区人民法院,买卖合同纠纷,开庭信息,开庭时间,2015年11月
Q00301,原告/上诉人,上海市嘉定区人民法院,加工合同纠纷,开庭信息,开庭时间,2014年3月
Q00307,原告,浙江省宁波市江东区人民法院,承揽合同纠纷,开庭信息,开庭时间,2015年8月
Q00307,原告,浙江省宁波市江东区人民法院,,立案信息,立案时间,2013年11月
Q00319,被告,江苏省高级人民法院,,开庭信息,开庭时间,2014年7月
Q00329,被告,广东省东莞市第二人民法院,,开庭信息,开庭时间,2016年5月
Q00329,被告,广东省东莞市第二人民法院,买卖合同纠纷,审理进度,立案时间,2016年2月
Q00330,当事人,江苏省昆山市人民法院,,裁判文书,送达时间,2012年3月
Q00337,当事人,广东省中山市第二人民法院,生命权、健康权、身体权纠纷,审理进度,立案时间,2016年1月
Q00337,上诉人,江苏省张家港市人民法院,公路货物运输合同纠纷,审理进度,立案时间,2015年3月
Q00337,当事人,广东省东莞市中级人民法院,运输合同纠纷,审理进度,立案时间,2014年4月
Q00337,被告,上海市浦东新区人民法院,机动车交通事故责任纠纷,开庭信息,开庭时间,2012年9月
Q00349,被告,上海市闸北区人民法院,买卖合同纠纷,开庭信息,开庭时间,2014年12月
Q00366,被告,浙江省杭州市萧山区人民法院,承揽合同纠纷,开庭信息,开庭时间,2016年12月
Q00367,被告,江苏省太仓市人民法院,土地租赁合同纠纷,开庭信息,开庭时间,2017年5月
Q00369,,江苏省苏州工业园区人民法院,,开庭信息,开庭时间,2014年10月
Q00390,当事人,江苏省昆山市人民法院,,裁判文书,送达时间,2016年11月
Q00390,当事人,江苏省昆山市人民法院,,起诉状副本及开庭传票,送达时间,2016年6月
Q00391,原告,浙江省嘉兴市南湖区人民法院,买卖合同纠纷,开庭信息,开庭时间,2016年8月
Q00395,当事人,江苏省昆山市人民法院,,裁判文书,送达时间,2015年3月
Q00395,原告,江苏省昆山市人民法院,,开庭信息,开庭时间,2014年12月
Q00395,当事人,江苏省昆山市人民法院,,诉状副本及开庭传票,送达时间,2014年8月
Q00415,被告,浙江省杭州市西湖区人民法院,网络域名合同纠纷,开庭信息,开庭时间,2017年10月
Q00415,被告,浙江省杭州市中级人民法院,垄断纠纷,开庭信息,开庭时间,2017年9月
Q00415,被告,浙江省杭州市中级人民法院,,审理进度,立案时间,2017年7月
Q00416,被告,上海市嘉定区人民法院,买卖合同纠纷,开庭信息,开庭时间,2018年3月
Q00416,原告,江苏省苏州市中级人民法院,买卖合同纠纷,开庭信息,开庭时间,2017年12月
Q00416,原告,江苏省苏州市吴中区人民法院,,裁判文书,送达时间,2017年2月
Q00416,被告/被上诉人,上海市宝山区人民法院,买卖合同纠纷,开庭信息,开庭时间,2015年8月
Q00416,上诉人,江苏省张家港市人民法院,承揽合同纠纷,审理进度,立案时间,2015年3月
Q00421,原告,浙江省江山市人民法院,,审理进度,立案时间,2016年5月
Q00426,被告,上海市奉贤区人民法院,承揽合同纠纷,开庭信息,开庭时间,2017年4月
Q00433,被申请人,昆山市劳动人事争议仲裁委员会,,开庭信息,开庭时间,2013年3月
Q00446,当事人,江苏省苏州市相城区人民法院,,公示催告,送达时间,2013年1月
Q00450,被申请人,昆山市劳动人事争议仲裁委员会,,开庭信息,开庭时间,2016年2月
Q00450,当事人,江苏省张家港市人民法院,请求确认人民调解协议效力,审理进度,立案时间,2015年3月
Q00450,被申请人,昆山市劳动人事争议仲裁委员会,,开庭信息,开庭时间,2015年3月
Q00450,被申请人,昆山市劳动人事争议仲裁委员会,,开庭信息,开庭时间,2013年5月
Q00452,当事人,江苏省苏州市吴中区人民法院,,裁判文书,送达时间,2016年4月
Q00452,当事人,江苏省苏州市吴中区人民法院,,起诉状副本及开庭传票,送达时间,2015年12月
Q00452,当事人,江苏省苏州市吴中区人民法院,,裁判文书,送达时间,2015年10月
Q00452,当事人,江苏省苏州市吴中区人民法院,,诉状副本及开庭传票,送达时间,2015年4月
Q00473,被申请人,昆山市劳动人事争议仲裁委员会,,开庭信息,开庭时间,2016年8月
Q00473,原告,江苏省太仓市人民法院,公路货物运输合同纠纷,开庭信息,开庭时间,2016年4月
Q00478,原告,江苏省常熟市人民法院,,裁判文书,送达时间,2015年3月
Q00478,申请执行人,浙江省宁波市鄞州区人民法院,,立案信息,立案时间,2009年7月
Q00478,原告,浙江省宁波市鄞州区人民法院,,立案信息,立案时间,2009年4月
Q00488,原告,江苏省苏州市吴中区人民法院,,裁判文书,送达时间,2015年12月
Q00488,原告,江苏省苏州市吴中区人民法院,,裁判文书,送达时间,2015年6月
Q00488,原告,江苏省苏州市吴中区人民法院,,诉状副本及开庭传票,送达时间,2015年2月
Q00488,原告,江苏省苏州市吴中区人民法院,,诉状副本及开庭传票,送达时间,2015年1月
Q00488,原告,江苏省苏州市吴中区人民法院,,开庭信息,开庭时间,2014年12月
Q00488,原告,江苏省苏州市吴中区人民法院,分期付款买卖合同纠纷,审理进度,立案时间,2014年11月
Q00501,当事人,江苏省昆山市人民法院,,裁判文书,送达时间,2012年9月
Q00504,被告,浙江省温岭市人民法院,买卖合同纠纷,开庭信息,开庭时间,2018年4月
Q00504,当事人,浙江省温岭市人民法院,,起诉状副本及开庭传票,送达时间,2018年4月
Q00504,当事人,江苏省张家港市人民法院,,起诉状副本及开庭传票,送达时间,2016年10月
Q00504,被告,上海市浦东新区人民法院,融资租赁合同纠纷,开庭信息,开庭时间,2016年6月
Q00505,被告,浙江省江山市人民法院,,开庭信息,开庭时间,2016年3月
Q00505,,浙江省慈溪市人民法院,,申请公示催告,送达时间,2015年11月
Q00505,申请人,浙江省慈溪市人民法院,,审理进度,立案时间,2015年10月
Q00505,被告,浙江省江山市人民法院,,审理进度,立案时间,2015年10月
Q00505,被告,江苏省张家港市人民法院,买卖合同纠纷,审理进度,立案时间,2015年2月
Q00505,原告,江苏省高级人民法院,,开庭信息,开庭时间,2015年1月
Q00505,原告,陕西省西安市未央区人民法院,,诉状副本及开庭传票,送达时间,2014年7月
Q00505,,山东省嘉祥县人民法院,,申请公示催告,送达时间,2010年11月
Q00507,被告,上海市浦东新区人民法院,买卖合同纠纷,开庭信息,开庭时间,2017年3月
Q00511,当事人,江苏省昆山市人民法院,,起诉状副本及开庭传票,送达时间,2016年7月
Q00511,被申请人,昆山市劳动人事争议仲裁委员会,,开庭信息,开庭时间,2015年7月
Q00511,被申请人,昆山市劳动人事争议仲裁委员会,,开庭信息,开庭时间,2015年6月
Q00511,被申请人,昆山市劳动人事争议仲裁委员会,,开庭信息,开庭时间,2015年5月
Q00511,被申请人,昆山市劳动人事争议仲裁委员会,,开庭信息,开庭时间,2014年10月
Q00511,被申请人,昆山市劳动人事争议仲裁委员会,,开庭信息,开庭时间,2012年6月
Q00514,被告,江苏省张家港市人民法院,工伤保险待遇纠纷,审理进度,立案时间,2015年2月
Q00514,被申请人,昆山市劳动人事争议仲裁委员会,,开庭信息,开庭时间,2013年11月
Q00514,被申请人,昆山市劳动人事争议仲裁委员会,,开庭信息,开庭时间,2012年11月
Q00519,被告人,江苏省昆山市人民法院,虚开增值税发票罪,开庭信息,开庭时间,2017年12月
Q00538,当事人,江苏省昆山市人民法院,,裁判文书,送达时间,2016年2月
Q00538,当事人,江苏省昆山市人民法院,,诉状副本及开庭传票,送达时间,2015年10月
Q00548,原告,江苏省苏州市相城区人民法院,买卖合同纠纷,审理进度,立案时间,2014年12月
Q00549,当事人,广东省广州市天河区人民法院,,开庭信息,开庭时间,2016年3月
Q00554,申请人:原告,江苏省苏州工业园区人民法院,,送达诉状副本及开庭传票,送达时间,2018年4月
Q00554,原告,上海市浦东新区人民法院,买卖合同纠纷,开庭信息,开庭时间,2017年6月
Q00571,被告,江苏省苏州工业园区人民法院,,开庭信息,开庭时间,2014年11月
Q00577,申请人,江苏省太仓市人民法院,,送达诉状副本及开庭传票,送达时间,2017年12月
Q00595,被上诉人,江苏省苏州市中级人民法院,买卖合同纠纷,开庭信息,开庭时间,2017年12月
Q00602,当事人,江苏省苏州市吴中区人民法院,买卖合同纠纷;环保,开庭信息,开庭时间,2016年8月
Q00604,上诉人,江苏省张家港市人民法院,一般人格权纠纷,审理进度,立案时间,2015年3月
Q00606,原告,安徽省芜湖市弋江区人民法院,买卖合同纠纷,开庭信息,开庭时间,2016年7月
Q00611,申请人:原告,江苏省苏州市相城区人民法院,,裁判文书,送达时间,2017年12月
Q00611,申请人:原告,江苏省苏州市相城区人民法院,,起诉状副本及开庭传票,送达时间,2017年8月
Q00616,原告,江苏省苏州工业园区人民法院,,开庭信息,开庭时间,2014年12月
Q00634,原告,江苏省苏州市吴中区人民法院,,诉状副本及开庭传票,送达时间,2015年7月
Q00634,被申请人,昆山市劳动人事争议仲裁委员会,,开庭信息,开庭时间,2014年5月
Q00646,被告,江苏省苏州市吴江区人民法院,买卖合同纠纷,开庭信息,开庭时间,2017年9月
Q00654,申请人,江苏省苏州工业园区人民法院,,送达诉状副本及开庭传票,送达时间,2016年11月
Q00661,被告,山东省青州市人民法院,买卖合同纠纷,开庭信息,开庭时间,2017年9月
Q00661,被告,山东省青州市人民法院,买卖合同纠纷,开庭信息,开庭时间,2017年6月
Q00662,原告,江苏省张家港市人民法院,承揽合同纠纷,开庭信息,开庭时间,2017年8月
Q00666,被告,浙江省湖州市南浔区人民法院,,审理进度,立案时间,2015年1月
Q00667,原告,江苏省苏州工业园区人民法院,,裁判文书,送达时间,2016年2月
Q00667,原告,江苏省苏州工业园区人民法院,,起诉状副本及开庭传票,送达时间,2015年9月
Q00667,原告,江苏省张家港市人民法院,买卖合同纠纷,审理进度,立案时间,2015年4月
Q00689,上诉人,江苏省苏州市中级人民法院,商品房销售合同纠纷,开庭信息,开庭时间,2017年11月
Q00689,被告,江苏省苏州市吴中区人民法院,建设工程分包合同纠纷,审理进度,立案时间,2015年1月
Q00689,当事人,江苏省无锡市南长区人民法院,,诉状副本及开庭传票,送达时间,2014年5月
Q00692,原告,江苏省苏州工业园区人民法院,,开庭信息,开庭时间,2014年12月
Q00693,申请人,江苏省苏州工业园区人民法院,,起诉状副本及开庭传票,送达时间,2017年10月
Q00696,原告,湖北省武汉市洪山区人民法院,,审理进度,立案时间,2013年4月
Q00700,原告,江苏省昆山市人民法院,行政案件,开庭信息,开庭时间,2017年3月
Q00700,原告,广东省佛山市顺德区人民法院,加工合同纠纷,开庭信息,开庭时间,2016年11月
Q00700,原告,上海市浦东新区人民法院,买卖合同纠纷,开庭信息,开庭时间,2016年5月
Q00700,当事人,广东省深圳市中级人民法院,,开庭信息,开庭时间,2016年4月
Q00700,当事人,广东省深圳市中级人民法院,买卖合同纠纷,审理进度,立案时间,2016年1月
Q00700,原告/上诉人,广西壮族自治区宾阳县人民法院,定作合同纠纷,开庭信息,开庭时间,2015年12月
Q00700,原告,广东省深圳市宝安区人民法院,加工合同纠纷,审理进度,立案时间,2015年10月
Q00700,原告,广东省深圳市龙岗区人民法院,,审理进度,立案时间,2015年7月
Q00700,,广东省珠海市中级人民法院,,送达裁判文书,送达时间,2015年5月
Q00700,,广东省惠州市惠阳区人民法院,,送达裁判文书,送达时间,2015年3月
Q00700,当事人,广东省惠州市惠阳区人民法院,买卖合同纠纷,其他审判流程信息,立案时间,2015年1月
Q00700,上诉人,广东省珠海市中级人民法院,加工合同纠纷,审理进度,立案时间,2015年1月
Q00700,当事人,广东省珠海市中级人民法院,加工合同纠纷,其他审判流程信息,立案时间,2015年1月
Q00700,当事人,广东省鹤山市人民法院,加工合同纠纷,其他审判流程信息,立案时间,2014年12月
Q00700,原告,广东省珠海市斗门区人民法院,,开庭信息,开庭时间,2014年10月
Q00715,被申请人,昆山市劳动人事争议仲裁委员会,,开庭信息,开庭时间,2013年9月
Q00718,当事人,江苏省昆山市人民法院,,起诉状副本及开庭传票,送达时间,2016年10月
Q00719,原告,浙江省绍兴市越城区人民法院,买卖合同纠纷,开庭信息,开庭时间,2017年8月
Q00719,原告,浙江省绍兴市越城区人民法院,,审理进度,立案时间,2017年4月
Q00738,当事人,江苏省昆山市人民法院,,裁判文书,送达时间,2014年6月
Q00756,上诉人,江苏省苏州市中级人民法院,买卖合同纠纷,开庭信息,开庭时间,2017年11月
Q00756,被告,江苏省太仓市人民法院,加工合同纠纷,开庭信息,开庭时间,2017年1月
Q00756,原告,江苏省常熟市人民法院,,裁判文书,送达时间,2016年12月
Q00756,被告,江苏省常州市新北区人民法院,,开庭信息,开庭时间,2016年11月
Q00756,上诉人,江苏省苏州市中级人民法院,劳动争议纠纷,开庭信息,开庭时间,2016年10月
Q00756,被告,江苏省无锡市惠山区人民法院,定作合同纠纷,开庭信息,开庭时间,2016年8月
Q00756,被上诉人,江苏省苏州市中级人民法院,房屋租赁合同纠纷,开庭信息,开庭时间,2016年7月
Q00756,当事人,江苏省常熟市人民法院,,起诉状副本及开庭传票,送达时间,2016年6月
Q00756,被告,上海市金山区人民法院,承揽合同纠纷,开庭信息,开庭时间,2016年1月
Q00756,被告,江苏省常熟市人民法院,票据追索权纠纷,审理进度,立案时间,2015年3月
Q00756,被告,江苏省常熟市人民法院,水污染责任纠纷,审理进度,立案时间,2015年1月
Q00756,原告,山东省莱芜市钢城区人民法院,,开庭信息,开庭时间,2013年11月
Q00761,第三人,江苏省江阴市人民法院,债权转让合同纠纷,开庭信息,开庭时间,2015年8月
Q00761,当事人,江苏省张家港市人民法院,,诉状副本及开庭传票,送达时间,2015年1月
Q00761,被告,江苏省张家港市人民法院,企业借贷纠纷,审理进度,立案时间,2014年11月
Q00761,被告,江苏省苏州市虎丘区人民法院,买卖合同纠纷,审理进度,立案时间,2014年9月
Q00762,原告,江苏省苏州工业园区人民法院,,送达信息,送达时间,2015年10月
Q00762,申请人:原告,江苏省苏州工业园区人民法院,,送达裁判文书,送达时间,2015年10月
Q00762,原告,江苏省张家港市人民法院,融资租赁合同纠纷,审理进度,立案时间,2015年2月
Q00795,被告,上海市浦东新区人民法院,劳动合同纠纷,开庭信息,开庭时间,2013年11月
Q00797,当事人,江苏省昆山市人民法院,,起诉状副本及开庭传票,送达时间,2016年8月
Q00823,被告,江苏省苏州市吴中区人民法院,工伤保险待遇纠纷,审理进度,立案时间,2015年3月
Q00824,当事人,江苏省苏州市吴中区人民法院,,裁判文书,送达时间,2017年2月
Q00824,当事人,江苏省苏州市吴中区人民法院,,起诉状副本及开庭传票,送达时间,2016年10月
Q00825,当事人,江苏省苏州市相城区人民法院,,裁判文书,送达时间,2016年5月
Q00825,当事人,江苏省苏州市相城区人民法院,,裁判文书,送达时间,2016年4月
Q00825,当事人,江苏省苏州市相城区人民法院,,裁判文书,送达时间,2015年12月
Q00825,当事人,江苏省苏州市相城区人民法院,,诉状副本及开庭传票,送达时间,2015年11月
Q00825,当事人,江苏省苏州市相城区人民法院,,起诉状副本及开庭传票,送达时间,2015年9月
Q00825,当事人,江苏省苏州市相城区人民法院,,诉状副本及开庭传票,送达时间,2015年8月
Q00825,上诉人,浙江省湖州市中级人民法院,,审理进度,立案时间,2015年7月
Q00825,当事人,江苏省苏州市相城区人民法院,,诉状副本及开庭传票,送达时间,2015年7月
Q00825,被告,江苏省苏州市相城区人民法院,建设工程施工合同纠纷,审理进度,立案时间,2015年3月
Q00825,当事人,江苏省苏州市相城区人民法院,,诉状副本及开庭传票,送达时间,2015年1月
Q00825,当事人,江苏省苏州市相城区人民法院,,裁判文书,送达时间,2015年1月
Q00825,当事人,江苏省苏州市相城区人民法院,,裁判文书,送达时间,2014年11月
Q00825,原告,江苏省高级人民法院,,开庭信息,开庭时间,2014年10月
Q00825,当事人,江苏省苏州市相城区人民法院,,诉状副本及开庭传票,送达时间,2014年8月
Q00825,当事人,江苏省苏州市相城区人民法院,,送达诉状副本及开庭传票,送达时间,2014年5月
Q00836,原告,江苏省张家港市人民法院,行政案件,开庭信息,开庭时间,2017年4月
Q00846,原告,江苏省苏州市虎丘区人民法院,,裁判文书,送达时间,2012年12月
Q00847,原告,江苏省苏州市姑苏区人民法院,行政案件,开庭信息,开庭时间,2017年12月
Q00847,申请人:原告,江苏省苏州市吴中区人民法院,,裁判文书,送达时间,2017年10月
Q00847,被告,江苏省苏州市吴中区人民法院,土地使用权转让合同纠纷,审理进度,立案时间,2015年3月
Q00859,被告,江苏省太仓市人民法院,小额借款合同纠纷,开庭信息,开庭时间,2017年4月
Q00859,原告,江苏省太仓市人民法院,不当得利纠纷,开庭信息,开庭时间,2017年3月
Q00868,申请人,常熟市劳动人事争议仲裁委员会,,送达仲裁文书,送达时间,2017年9月
Q00868,申请人,常熟市劳动人事争议仲裁委员会,,送达仲裁文书,送达时间,2017年4月
Q00881,申请人:原告,江苏省苏州市相城区人民法院,,裁判文书,送达时间,2018年1月
Q00881,申请人:原告,江苏省苏州市相城区人民法院,,起诉状副本及开庭传票,送达时间,2017年9月
Q00881,被告,浙江省杭州市余杭区人民法院,侵害作品信息网络传播权纠纷,开庭信息,开庭时间,2017年2月
Q00881,被告,浙江省杭州市余杭区人民法院,,审理进度,立案时间,2016年10月
Q00894,被告,江苏省太仓市人民法院,机动车交通事故责任纠纷,开庭信息,开庭时间,2017年5月
Q00900,申请人:第三人,江苏省昆山市人民法院,,起诉状副本及开庭传票,送达时间,2018年2月
Q00911,原告,江苏省太仓市人民法院,加工合同纠纷,开庭信息,开庭时间,2018年1月
Q00911,原告,江苏省太仓市人民法院,加工合同纠纷,开庭信息,开庭时间,2016年1月
Q00923,上诉人,江苏省苏州市中级人民法院,买卖合同纠纷,开庭信息,开庭时间,2017年11月
Q00923,被上诉人,江苏省苏州市中级人民法院,买卖合同纠纷,开庭信息,开庭时间,2016年11月
Q00923,原告,江苏省苏州市吴江区人民法院,,通知公告,送达时间,2016年3月
Q00923,原告,江苏省苏州市吴江区人民法院,,诉状副本及开庭传票,送达时间,2015年9月
Q00923,上诉人,江苏省张家港市人民法院,买卖合同纠纷,审理进度,立案时间,2015年4月
Q00923,原告,江苏省苏州市吴江区人民法院,买卖合同纠纷,审理进度,立案时间,2014年11月
Q00932,被申请人,昆山市劳动人事争议仲裁委员会,,开庭信息,开庭时间,2015年11月
Q00932,申请人,昆山市劳动人事争议仲裁委员会,,送达仲裁文书,送达时间,2015年9月
Q00932,,昆山市劳动人事争议仲裁委员会,,送达仲裁文书,送达时间,2015年9月
Q00974,被申请人,昆山市劳动人事争议仲裁委员会,,开庭信息,开庭时间,2015年10月
Q00975,原告,江苏省昆山市人民法院,,裁判文书,送达时间,2017年4月
Q00998,被告,江苏省太仓市人民法院,机动车交通事故责任纠纷,开庭信息,开庭时间,2014年3月
Q01002,申请人,江苏省苏州工业园区人民法院,,送达执行文书,送达时间,2018年1月
Q01002,申请人:被告,江苏省昆山市人民法院,,起诉状副本及开庭传票,送达时间,2017年11月
Q01002,申请人,江苏省苏州市姑苏区人民法院,,裁判文书,送达时间,2017年10月
Q01002,被告,江苏省苏州市姑苏区人民法院,追偿权纠纷,开庭信息,开庭时间,2017年10月
Q01002,被告,江苏省苏州市姑苏区人民法院,行政案件,开庭信息,开庭时间,2017年9月
Q01002,被告,江苏省苏州市姑苏区人民法院,,起诉状副本及开庭传票,送达时间,2017年3月
Q01002,被告,浙江省杭州市江干区人民法院,买卖合同纠纷,开庭信息,开庭时间,2016年11月
Q01002,原告,江苏省苏州市姑苏区人民法院,,更正,送达时间,2016年10月
Q01002,被告,浙江省杭州市江干区人民法院,,审理进度,立案时间,2016年8月
Q01007,当事人,江苏省昆山市人民法院,,起诉状副本及开庭传票,送达时间,2016年6月
Q01007,当事人,江苏省昆山市人民法院,,裁判文书,送达时间,2012年11月
Q01008,第三人,江苏省太仓市人民法院,损害公司利益责任纠纷,开庭信息,开庭时间,2018年4月
Q01008,第三人,江苏省太仓市人民法院,损害公司利益责任纠纷,开庭信息,开庭时间,2017年12月
Q01008,当事人,江苏省太仓市人民法院,,诉状副本及开庭传票,送达时间,2014年10月
Q01008,,江苏省太仓市人民法院,,开庭信息,开庭时间,2014年9月
Q01008,被告,江苏省张家港市人民法院,公司解散纠纷,审理进度,立案时间,2014年9月
