小微企业ID,诉讼地位,审理机关,涉案事由,涉案金额(元),文书类型,审理程序,结案时间
Q00011,被执行人,江苏省苏州市相城区人民法院,执行实施类案件,0,执行裁定书,执行程序,2018年3月
Q00011,上诉人,江苏省苏州市中级人民法院,股东资格确认纠纷,0,民事判决书,二审,2017年2月
Q00011,被上诉人,江苏省苏州市中级人民法院,股东知情权纠纷,0,民事裁定书,二审,2016年10月
Q00011,上诉人,江苏省苏州市中级人民法院,劳动争议,0,民事裁定书,二审,2016年5月
Q00011,上诉人(原审被告),江苏省苏州市中级人民法院,股东资格确认纠纷,0,民事裁定书,二审,2015年11月
Q00011,被告,江苏省苏州市相城区人民法院,股东资格确认纠纷,0,民事判决书,一审,2015年6月
Q00013,原告,江苏省苏州市吴中区人民法院,房屋租赁合同纠纷,0,民事裁定书,一审,2017年10月
Q00013,原告,江苏省苏州市吴中区人民法院,追索劳动报酬纠纷,0,民事裁定书,一审,2017年6月
Q00013,被上诉人,安徽省高级人民法院,合同纠纷,0,民事判决书,二审,2015年8月
Q00013,原告,安徽省宣城市中级人民法院,合同纠纷,900000,民事判决书,一审,2015年1月
Q00013,原告,安徽省宣城市中级人民法院,合同纠纷,0,民事裁定书,一审,2014年6月
Q00013,原告,安徽省宣城市中级人民法院,合同纠纷,0,民事裁定书,一审,2014年2月
Q00016,被告,江苏省昆山市人民法院,追偿权纠纷,500000,民事判决书,一审,2017年5月
Q00016,被告,江苏省昆山市人民法院,追偿权纠纷,2000000,民事判决书,一审,2017年5月
Q00016,被告,江苏省昆山市人民法院,民间借贷纠纷,1992000,民事判决书,一审,2016年7月
Q00016,被告,江苏省昆山市人民法院,民间借贷纠纷,3000000,民事判决书,一审,2015年11月
Q00016,被告,江苏省昆山市人民法院,民间借贷纠纷,1000000,民事判决书,一审,2015年11月
Q00017,原告,江苏省苏州市虎丘区人民法院,装饰装修合同纠纷,216000,民事判决书,一审,2016年5月
Q00021,被执行人,江苏省张家港市人民法院,买卖合同纠纷,0,执行裁定书,执行程序,2016年10月
Q00021,被执行人,江苏省张家港市人民法院,买卖合同纠纷,0,执行裁定书,执行程序,2016年2月
Q00021,被告,江苏省张家港市人民法院,买卖合同纠纷,46000,民事判决书,一审,2015年9月
Q00025,原告,江苏省苏州市相城区人民法院,买卖合同纠纷,0,民事裁定书,一审,2017年8月
Q00025,申请执行人,江苏省苏州市中级人民法院,执行异议,0,执行裁定书,执行程序,2016年5月
Q00025,申请执行人,江苏省苏州市吴中区人民法院,分期付款买卖合同纠纷,0,执行裁定书,执行程序,2016年1月
Q00025,申请执行人,江苏省苏州市吴中区人民法院,分期付款买卖合同纠纷,0,执行裁定书,执行程序,2015年4月
Q00025,上诉人,江苏省高级人民法院,侵犯技术秘密纠纷,0,民事裁定书,二审,2011年10月
Q00028,申请执行人,江苏省张家港市人民法院,买卖合同纠纷,0,执行裁定书,执行程序,2016年11月
Q00028,原告,江苏省张家港市人民法院,买卖合同纠纷,2533000,民事判决书,一审,2016年6月
Q00030,被告,江苏省苏州市相城区人民法院,买卖合同纠纷,10000,民事判决书,一审,2016年10月
Q00030,被告,江苏省苏州市相城区人民法院,分期付款买卖合同纠纷,1159000,民事判决书,一审,2015年10月
Q00058,原告,江苏省昆山市人民法院,买卖合同纠纷,28000,民事判决书,一审,2017年9月
Q00065,上诉人(原审原告),江苏省苏州市中级人民法院,建设工程施工合同纠纷,0,民事判决书,二审,2017年12月
Q00065,被上诉人,江苏省苏州市中级人民法院,买卖合同纠纷,0,民事裁定书,二审,2014年6月
Q00065,原告,江苏省昆山市人民法院,买卖合同纠纷,2235000,民事判决书,一审,2014年3月
Q00065,原告,江苏省昆山市人民法院,买卖合同纠纷,0,民事裁定书,一审,2014年1月
Q00075,被上诉人,江苏省苏州市中级人民法院,小额借款合同纠纷,0,民事裁定书,二审,2018年3月
Q00075,申请执行人,江苏省太仓市人民法院,执行实施类案件,0,执行裁定书,执行程序,2017年11月
Q00075,原告,江苏省太仓市人民法院,小额借款合同纠纷,2051000,民事判决书,一审,2017年6月
Q00075,申请执行人,江苏省太仓市人民法院,小额借款合同纠纷,0,执行裁定书,执行程序,2017年3月
Q00075,原告,江苏省太仓市人民法院,保证合同纠纷,0,民事判决书,一审,2016年12月
Q00075,申请执行人,江苏省太仓市人民法院,小额借款合同纠纷,0,执行裁定书,执行程序,2016年10月
Q00075,原告,江苏省太仓市人民法院,小额借款合同纠纷,5114000,民事判决书,一审,2016年1月
Q00075,申请执行人,江苏省太仓市人民法院,小额借款合同纠纷,0,执行裁定书,执行程序,2016年1月
Q00075,原告,江苏省太仓市人民法院,小额借款合同纠纷,4600000,民事判决书,一审,2015年12月
Q00075,申请人,江苏省太仓市人民法院,申请诉前财产保全,5500000,民事裁定书,财产保全程序,2015年11月
Q00075,申请执行人,江苏省太仓市人民法院,小额借款合同纠纷,0,执行裁定书,执行程序,2015年9月
Q00075,原告,江苏省太仓市人民法院,小额借款合同纠纷,3000000,民事判决书,一审,2015年8月
Q00075,原告,江苏省太仓市人民法院,小额借款合同纠纷,5112000,民事判决书,一审,2015年5月
Q00075,原告,江苏省太仓市人民法院,小额借款合同纠纷,1032000,民事判决书,一审,2015年4月
Q00075,申请执行人,江苏省太仓市人民法院,小额借款合同纠纷,0,执行裁定书,执行程序,2015年3月
Q00075,上诉人,江苏省苏州市中级人民法院,债权人撤销权纠纷,11000,民事判决书,二审,2015年1月
Q00075,原告,江苏省太仓市人民法院,小额借款合同纠纷,5165000,民事判决书,一审,2014年11月
Q00075,原告,江苏省太仓市人民法院,小额借款合同纠纷,1800000,民事判决书,一审,2014年7月
Q00075,原告,江苏省太仓市人民法院,小额借款合同纠纷,1235000,民事判决书,一审,2014年6月
Q00078,申请人,江苏省常州市天宁区人民法院,申请公示催告,28000,民事判决书,公示催告程序,2017年8月
Q00078,原告,江苏省江阴市人民法院,买卖合同纠纷,96000,民事判决书,一审,2013年4月
Q00085,被告,江苏省苏州市相城区人民法院,买卖合同纠纷,3000,民事判决书,一审,2017年4月
Q00098,被告,江苏省苏州市吴中区人民法院,加工合同纠纷,46000,民事判决书,一审,2017年9月
Q00098,被申请人,江苏省苏州市虎丘区人民法院,金融借款合同纠纷,0,民事裁定书,一审,2016年9月
Q00098,被告,江苏省苏州市虎丘区人民法院,金融借款合同纠纷,0,民事裁定书,一审,2016年9月
Q00098,被申请人,江苏省苏州市虎丘区人民法院,金融借款合同纠纷,180000,民事裁定书,一审,2016年8月
Q00101,原告,江苏省苏州市相城区人民法院,房屋租赁合同纠纷,2178000,民事判决书,一审,2017年5月
Q00101,被上诉人(原审原告),江苏省苏州市中级人民法院,房屋租赁合同纠纷,0,民事裁定书,二审,2016年8月
Q00103,被上诉人,江苏省苏州市中级人民法院,商品房预售合同纠纷,0,民事判决书,二审,2017年11月
Q00103,被告,江苏省苏州市吴中区人民法院,商品房预售合同纠纷,2000,民事判决书,一审,2017年7月
Q00103,原告,江苏省苏州市吴中区人民法院,房屋租赁合同纠纷,0,民事裁定书,一审,2016年5月
Q00103,上诉人,江苏省苏州市中级人民法院,商品房预售合同纠纷,0,民事裁定书,二审,2014年11月
Q00103,被告,江苏省苏州市吴中区人民法院,商品房预售合同纠纷,1300000,民事判决书,一审,2014年6月
Q00116,被告,江苏省昆山市人民法院,买卖合同纠纷,3000,民事判决书,一审,2017年7月
Q00118,上诉人,江苏省苏州市中级人民法院,劳动争议,0,民事判决书,二审,2017年10月
Q00118,被上诉人,江苏省苏州市中级人民法院,确认劳动关系纠纷,0,民事判决书,二审,2017年10月
Q00118,被告,江苏省张家港市人民法院,劳动争议,35000,民事判决书,一审,2017年7月
Q00118,被告,江苏省张家港市人民法院,劳动争议,27000,民事判决书,一审,2017年7月
Q00118,被告,江苏省张家港市人民法院,劳动争议,42000,民事判决书,一审,2017年7月
Q00118,被告,江苏省张家港市人民法院,劳动争议,0,民事判决书,一审,2017年7月
Q00124,被告,江苏省苏州工业园区人民法院,融资租赁合同纠纷,0,民事裁定书,一审,2016年12月
Q00126,上诉人,江苏省淮安市中级人民法院,定作合同纠纷,0,民事裁定书,二审,2018年3月
Q00126,被告,江苏省苏州市吴江区人民法院,建设工程施工合同纠纷,1234000,民事判决书,一审,2017年5月
Q00126,被告,江苏省常熟市人民法院,买卖合同纠纷,317000,民事判决书,一审,2017年3月
Q00126,被告,江苏省苏州工业园区人民法院,民间借贷纠纷,0,民事裁定书,一审,2017年3月
Q00126,原审被告,江苏省苏州市中级人民法院,买卖合同纠纷,0,民事裁定书,二审,2016年10月
Q00126,被告,江苏省淮安市清浦区人民法院,定作合同纠纷,0,民事裁定书,一审,2016年3月
Q00127,原告,江苏省常熟市人民法院,买卖合同纠纷,0,民事裁定书,一审,2015年11月
Q00130,原告,江苏省昆山市人民法院,买卖合同纠纷,200000,民事判决书,一审,2015年2月
Q00136,原告,江苏省张家港市人民法院,买卖合同纠纷,0,民事裁定书,一审,2015年7月
Q00137,原告,江苏省苏州市吴中区人民法院,房屋租赁合同纠纷,18000,民事判决书,一审,2016年3月
Q00149,被告,江苏省苏州市吴中区人民法院,生命权、健康权、身体权纠纷,31000,民事判决书,一审,2016年11月
Q00149,上诉人,江苏省苏州市中级人民法院,劳动争议,0,民事判决书,二审,2015年12月
Q00155,原告,江苏省苏州市吴中区人民法院,广告合同纠纷,0,民事裁定书,一审,2017年5月
Q00156,原告,江苏省张家港市人民法院, 债权纠纷,0,民事裁定书,一审,2016年11月
Q00161,被上诉人,江苏省苏州市中级人民法院,买卖合同纠纷,0,民事裁定书,二审,2016年5月
Q00161,原告,上海市青浦区人民法院,加工合同纠纷,54000,民事判决书,一审,2015年12月
Q00162,被告,江苏省苏州市虎丘区人民法院,金融借款合同纠纷,378000,民事判决书,一审,2016年8月
Q00162,被上诉人,江苏省苏州市中级人民法院,商品房销售合同纠纷,0,民事判决书,二审,2015年9月
Q00162,被告,江苏省苏州市虎丘区人民法院,商品房销售合同纠纷,2000,民事判决书,一审,2015年4月
Q00162,被告,江苏省苏州市虎丘区人民法院,商品房销售合同纠纷,0,民事判决书,一审,2012年11月
Q00165,原告,江苏省张家港市人民法院,买卖合同纠纷,253000,民事判决书,一审,2017年3月
Q00185,被执行人,江苏省苏州市虎丘区人民法院,执行实施类案件,0,执行裁定书,执行程序,2017年12月
Q00185,被告,江苏省苏州市虎丘区人民法院,居间合同纠纷,0,民事裁定书,一审,2017年7月
Q00185,被执行人,江苏省苏州市虎丘区人民法院,执行实施类案件,0,执行裁定书,执行程序,2017年7月
Q00185,上诉人,江苏省苏州市中级人民法院,社会保险纠纷,0,民事判决书,二审,2017年5月
Q00185,被告,江苏省苏州市虎丘区人民法院,服务合同纠纷,101000,民事裁定书,一审,2015年4月
Q00186,原告,江苏省南京市江宁区人民法院,买卖合同纠纷,73000,民事判决书,一审,2017年10月
Q00203,被告,江苏省苏州市相城区人民法院,买卖合同纠纷,171000,民事判决书,一审,2016年8月
Q00204,上诉人,江苏省苏州市中级人民法院,买卖合同纠纷,0,民事判决书,二审,2017年1月
Q00204,被告,江苏省苏州市相城区人民法院,买卖合同纠纷,185000,民事判决书,一审,2016年10月
Q00214,原告,江苏省张家港市人民法院,买卖合同纠纷,12000,民事判决书,一审,2017年11月
Q00214,原告,江苏省张家港市人民法院,买卖合同纠纷,0,民事裁定书,一审,2017年7月
Q00214,申请人,江苏省张家港市人民法院,买卖合同纠纷,29000,民事裁定书,一审,2017年6月
Q00214,原告,江苏省张家港市人民法院,买卖合同纠纷,0,民事裁定书,一审,2017年6月
Q00214,被告,江苏省张家港市人民法院,侵害商标权纠纷,12000,民事判决书,一审,2017年1月
Q00214,原告,江苏省张家港市人民法院,买卖合同纠纷,0,民事裁定书,一审,2016年12月
Q00214,原告,江苏省张家港市人民法院,买卖合同纠纷,5000,民事判决书,一审,2016年10月
Q00214,原告,江苏省张家港市人民法院,买卖合同纠纷,0,民事裁定书,一审,2016年6月
Q00214,原告,江苏省张家港市人民法院,买卖合同纠纷,0,民事裁定书,一审,2016年2月
Q00214,原告,江苏省常熟市人民法院,买卖合同纠纷,0,民事裁定书,一审,2016年1月
Q00214,原告,江苏省江阴市人民法院,买卖合同纠纷,4000,民事判决书,一审,2016年1月
Q00214,原告,江苏省张家港市人民法院,买卖合同纠纷,0,民事裁定书,一审,2015年12月
Q00214,原告,江苏省江阴市人民法院,买卖合同纠纷,5000,民事判决书,一审,2014年3月
Q00216,申请执行人,上海市嘉定区人民法院,执行实施类案件,0,执行裁定书,执行程序,2017年9月
Q00219,上诉人,江苏省无锡市中级人民法院,加工合同纠纷,0,民事判决书,二审,2015年8月
Q00228,被告,江苏省常熟市人民法院,委托合同纠纷,0,民事裁定书,一审,2015年4月
Q00230,被告,江苏省常熟市人民法院,房屋租赁合同纠纷,0,民事判决书,一审,2017年5月
Q00236,被上诉人,江苏省苏州市中级人民法院,提供劳务者受害责任纠纷,0,民事裁定书,二审,2016年5月
Q00236,被告,江苏省昆山市人民法院,提供劳务者受害责任纠纷,309000,民事判决书,一审,2015年5月
Q00236,被告,江苏省昆山市人民法院,无因管理纠纷,0,民事裁定书,一审,2014年9月
Q00241,申请执行人,江苏省张家港市人民法院,买卖合同纠纷,0,执行裁定书,执行程序,2016年12月
Q00241,原告,江苏省张家港市人民法院,买卖合同纠纷,48000,民事判决书,一审,2016年3月
Q00241,申请人,江苏省张家港市人民法院,确认票据无效纠纷,0,民事判决书,公示催告程序,2015年8月
Q00246,原告,江苏省苏州市吴中区人民法院,加工合同纠纷,0,民事裁定书,一审,2016年10月
Q00250,被告,江苏省昆山市人民法院,买卖合同纠纷,0,民事裁定书,一审,2018年3月
Q00255,被告,江苏省昆山市人民法院,车辆租赁合同纠纷,39000,民事判决书,一审,2015年5月
Q00256,原告,上海市奉贤区人民法院,买卖合同纠纷,8000,民事判决书,一审,2015年12月
Q00257,被执行人,江苏省张家港市人民法院,执行实施类案件,0,执行裁定书,执行程序,2017年9月
Q00277,原告,江苏省苏州市吴中区人民法院,分期付款买卖合同纠纷,0,民事裁定书,一审,2014年8月
Q00301,被申请人,江苏省太仓市人民法院,非诉行政行为申请执行审查案件,0,行政裁定书,行政非诉审查程序,2017年7月
Q00301,原告,上海市嘉定区人民法院,加工合同纠纷,0,民事裁定书,一审,2014年3月
Q00307,原告,浙江省宁波市江东区人民法院,承揽合同纠纷,141000,民事判决书,一审,2014年1月
Q00319,上诉人,江苏省高级人民法院,侵犯外观设计专利权纠纷,0,民事裁定书,二审,2014年9月
Q00319,被告,江苏省苏州市中级人民法院,侵犯外观设计专利权纠纷,0,民事裁定书,一审,2014年7月
Q00319,被告,江苏省苏州市中级人民法院,侵犯外观设计专利权纠纷,26000,民事判决书,一审,2014年6月
Q00319,被告,江苏省苏州市中级人民法院,侵犯外观设计专利权纠纷,27000,民事判决书,一审,2014年6月
Q00319,上诉人,江苏省高级人民法院,侵犯外观设计专利权纠纷,0,民事裁定书,二审,2014年4月
Q00320,被告,江苏省苏州市中级人民法院,专利权权属、侵权纠纷,0,民事裁定书,一审,2007年9月
Q00330,被告,江苏省昆山市人民法院,餐饮服务合同纠纷,46000,民事判决书,一审,2012年2月
Q00337,被告,广东省中山市第二人民法院,侵权责任纠纷,87000,民事判决书,一审,2017年6月
Q00337,被告,江苏省苏州市虎丘区人民法院,运输合同纠纷,0,民事裁定书,一审,2017年3月
Q00337,被告,广东省中山市第二人民法院,生命权、健康权、身体权纠纷,15000,民事判决书,一审,2016年7月
Q00337,申请再审人,江苏省高级人民法院,运输合同纠纷,0,民事裁定书,再审程序,2016年5月
Q00337,上诉人,江苏省苏州市中级人民法院,运输合同纠纷,0,民事判决书,二审,2015年4月
Q00339,被告,江苏省苏州市相城区人民法院,虚开增值税专用发票、用于骗取出口退税、抵扣税款发票罪,0,刑事判决书,一审,2015年1月
Q00346,原告,江苏省昆山市人民法院,买卖合同纠纷,0,民事裁定书,一审,2016年10月
Q00348,申请执行人,江苏省昆山市人民法院,执行实施类案件,0,执行裁定书,执行程序,2018年2月
Q00348,原告,江苏省昆山市人民法院,买卖合同纠纷,6000,民事判决书,一审,2017年7月
Q00348,原告,江苏省昆山市人民法院,买卖合同纠纷,48000,民事判决书,一审,2017年3月
Q00353,原告,江苏省常熟市人民法院,买卖合同纠纷,33000,民事判决书,一审,2018年1月
Q00358,申请执行人,江苏省常熟市人民法院,买卖合同纠纷,0,执行裁定书,执行程序,2014年7月
Q00359,原告,江苏省昆山市人民法院,买卖合同纠纷,0,民事裁定书,一审,2017年7月
Q00361,原告,江苏省昆山市人民法院,买卖合同纠纷,0,民事判决书,一审,2015年12月
Q00363,被告,山东省青岛市中级人民法院,著作权权属、侵权纠纷,0,民事裁定书,一审,2016年6月
Q00367,被上诉人,江苏省苏州市中级人民法院,土地租赁合同纠纷,0,民事判决书,二审,2017年11月
Q00369,被告,江苏省苏州工业园区人民法院,侵犯著作财产权纠纷,0,民事裁定书,一审,2015年4月
Q00385,被告,江苏省张家港市人民法院,承揽合同纠纷,0,民事裁定书,一审,2012年11月
Q00387,原告,江苏省苏州市相城区人民法院,买卖合同纠纷,81000,民事判决书,一审,2015年5月
Q00390,原告,江苏省昆山市人民法院,定作合同纠纷,16000,民事判决书,一审,2016年9月
Q00390,原告,江苏省昆山市人民法院,加工合同纠纷,0,民事裁定书,一审,2015年7月
Q00390,原告,江苏省昆山市人民法院,加工合同纠纷,0,民事裁定书,一审,2014年8月
Q00390,原告,江苏省昆山市人民法院,加工合同纠纷,0,民事裁定书,一审,2014年4月
Q00391,申请执行人,浙江省嘉兴市南湖区人民法院,执行实施类案件,0,执行裁定书,执行程序,2017年8月
Q00391,申请执行人,浙江省嘉兴市南湖区人民法院,执行实施类案件,248000,执行裁定书,执行程序,2016年8月
Q00391,原告,浙江省嘉兴市南湖区人民法院,买卖合同纠纷,0,民事裁定书,一审,2016年8月
Q00394,原告,江苏省苏州市吴江区人民法院,买卖合同纠纷,25000,民事判决书,一审,2017年9月
Q00395,原告,江苏省昆山市人民法院,定作合同纠纷,8000,民事判决书,一审,2014年12月
Q00398,被申请人,江苏省张家港市人民法院,租赁合同纠纷,250000,民事裁定书,一审,2017年3月
Q00398,原告,江苏省张家港市人民法院,广告合同纠纷,0,民事判决书,一审,2015年5月
Q00402,原告,江苏省张家港市人民法院,债权转让合同纠纷,676000,民事判决书,一审,2017年11月
Q00402,申请人,江苏省张家港市人民法院,债权转让合同纠纷,700000,民事裁定书,一审,2017年9月
Q00407,原告,江苏省常熟市人民法院,买卖合同纠纷,0,民事裁定书,一审,2015年3月
Q00412,被告,北京市西城区人民法院,侵权责任纠纷,0,民事裁定书,一审,2017年8月
Q00415,被申请人,北京市高级人民法院,垄断纠纷,0,民事裁定书,再审程序,2017年9月
Q00415,被告,北京知识产权法院,垄断纠纷,0,民事判决书,一审,2016年12月
Q00416,被告,上海市嘉定区人民法院,买卖合同纠纷,0,民事裁定书,一审,2018年3月
Q00416,被申请人,江苏省苏州市中级人民法院,买卖合同纠纷,0,民事裁定书,再审程序,2017年12月
Q00416,被申请人,江苏省高级人民法院,承揽合同纠纷,0,民事裁定书,再审程序,2017年3月
Q00416,被上诉人,江苏省苏州市中级人民法院,承揽合同纠纷,126000,民事判决书,二审,2016年2月
Q00416,原告,江苏省张家港市人民法院,承揽合同纠纷,0,民事判决书,一审,2014年12月
Q00416,被告,江苏省苏州市相城区人民法院,房屋买卖合同纠纷,0,民事裁定书,一审,2014年6月
Q00416,被告,江苏省苏州市相城区人民法院,分期付款买卖合同纠纷,252000,民事判决书,一审,2014年2月
Q00421,申请执行人,浙江省江山市人民法院,买卖合同纠纷,0,执行裁定书,执行程序,2016年11月
Q00421,原告,浙江省江山市人民法院,买卖合同纠纷,330000,民事判决书,一审,2016年6月
Q00425,被告,江苏省苏州市相城区人民法院,机动车交通事故责任纠纷,157000,民事判决书,一审,2017年7月
Q00435,被上诉人,江苏省苏州市中级人民法院,装饰装修合同纠纷,0,民事判决书,二审,2017年8月
Q00435,被告,江苏省苏州市吴中区人民法院,装饰装修合同纠纷,0,民事判决书,一审,2017年3月
Q00436,申请执行人,江苏省常熟市人民法院,加工合同纠纷,0,执行裁定书,执行程序,2015年4月
Q00436,原告,江苏省常熟市人民法院,加工合同纠纷,114000,民事判决书,一审,2014年6月
Q00450,原告,江苏省昆山市人民法院,工伤保险待遇纠纷,0,民事裁定书,一审,2016年6月
Q00452,被告,江苏省苏州市吴中区人民法院,分期付款买卖合同纠纷,246000,民事判决书,一审,2016年3月
Q00452,被告,江苏省苏州市吴中区人民法院,分期付款买卖合同纠纷,0,民事裁定书,一审,2015年7月
Q00464,原告,江苏省苏州市吴中区人民法院,买卖合同纠纷,0,民事裁定书,一审,2017年9月
Q00464,原告,江苏省苏州市吴中区人民法院,买卖合同纠纷,0,民事裁定书,一审,2017年3月
Q00473,原告,江苏省昆山市人民法院,买卖合同纠纷,0,民事判决书,一审,2018年3月
Q00473,上诉人,江苏省苏州市中级人民法院,确认劳动关系纠纷,0,民事裁定书,二审,2017年6月
Q00473,被上诉人,江苏省苏州市中级人民法院,公路货物运输合同纠纷,0,民事判决书,二审,2016年11月
Q00478,原告,江苏省常熟市人民法院,买卖合同纠纷,348000,民事判决书,一审,2015年2月
Q00478,申请执行人,江苏省常熟市人民法院,买卖合同纠纷,0,执行裁定书,执行程序,2014年12月
Q00484,被告,江苏省张家港市人民法院,机动车交通事故责任纠纷,40000,民事判决书,一审,2014年11月
Q00488,原告,江苏省苏州市吴中区人民法院,买卖合同纠纷,184000,民事判决书,一审,2015年12月
Q00488,原告,江苏省苏州市吴中区人民法院,分期付款买卖合同纠纷,66000,民事判决书,一审,2015年5月
Q00493,原告,江苏省昆山市人民法院,买卖合同纠纷,30000,民事判决书,一审,2017年11月
Q00494,原告,江苏省苏州市姑苏区人民法院,运输合同纠纷,175000,民事判决书,一审,2015年1月
Q00519,被告单位,江苏省昆山市人民法院,虚开增值税专用发票、用于骗取出口退税、抵扣税款发票罪,0,刑事判决书,一审,2017年12月
Q00526,原告,江苏省南京市江宁区人民法院,承揽合同纠纷,134000,民事判决书,一审,2016年7月
Q00548,原告,江苏省苏州市相城区人民法院,买卖合同纠纷,0,民事裁定书,一审,2014年12月
Q00549,被告,广东省广州市天河区人民法院,租赁合同纠纷,0,民事裁定书,一审,2016年3月
Q00554,原告(反诉被告),上海市浦东新区人民法院,买卖合同纠纷,0,民事裁定书,一审,2017年6月
Q00554,原告,江苏省苏州市吴中区人民法院,买卖合同纠纷,0,民事裁定书,一审,2017年4月
Q00558,被告,江苏省苏州市吴中区人民法院,买卖合同纠纷,255000,民事判决书,一审,2017年12月
Q00568,被告,江苏省张家港市人民法院,民间借贷纠纷,826000,民事判决书,一审,2016年4月
Q00583,上诉人,江苏省苏州市中级人民法院,房屋租赁合同纠纷,0,民事判决书,二审,2014年3月
Q00598,被执行人,江苏省苏州市吴中区人民法院,工伤保险待遇纠纷,0,执行裁定书,执行程序,2014年2月
Q00602,被告,江苏省苏州市吴中区人民法院,金融借款合同纠纷,0,民事裁定书,一审,2017年4月
Q00604,被上诉人,江苏省苏州市中级人民法院,一般人格权纠纷,0,民事判决书,二审,2015年5月
Q00604,被告,江苏省苏州市虎丘区人民法院,一般人格权纠纷,367000,民事判决书,一审,2015年2月
Q00606,被告,江苏省昆山市人民法院,买卖合同纠纷,0,民事裁定书,一审,2018年2月
