小微企业ID,执法/复议/审判机关,日期类别,具体日期
Q05444,无锡市工商行政管理局崇安分局,发布时间,2015年1月
Q05500,经检队（总队、支队、大队）,发布时间,2006年6月
Q05503,经检队（总队、支队、大队）,发布时间,2007年4月
Q05594,工商所,发布时间,2014年5月
Q05665,苏州市吴中区市场监督管理局临湖分局,发布时间,2017年8月
Q05754,北京知识产权法院,,2016年5月
Q05834,,发布时间,2015年1月
Q05838,经检队（总队、支队、大队）,发布时间,2009年10月
Q05914,工商所,发布时间,2014年5月
Q05943,工商所,发布时间,2013年6月
Q05957,经检队（总队、支队、大队）,发布时间,2012年5月
Q06022,公平交易部门,发布时间,2011年4月
Q06033,江苏省张家港市人民法院,,2013年1月
Q06084,公平交易部门,发布时间,2014年7月
Q06091,昆山市市场监督管理局花桥分局,发布时间,2015年2月
Q06091,工商所,发布时间,2014年10月
Q06252,苏州市常熟地方税务局稽查局,发布时间,2018年1月
Q06260,经检队（总队、支队、大队）,发布时间,2014年3月
Q06284,江苏省苏州地方税务局稽查局,发布时间,2017年7月
Q06298,,发布时间,2017年10月
Q06383,,发布时间,2016年9月
Q06383,青岛市市北国家税务局,发布时间,2016年4月
Q06383,,发布时间,2016年4月
Q06383,青岛市市南国家税务局,发布时间,2015年4月
Q06383,,发布时间,2015年4月
Q06397,苏州市张家港地方税务局稽查局,发布时间,2018年3月
Q06403,工商所,发布时间,2012年10月
Q06409,苏州市吴中地方税务局第四税务分局,发布时间,2018年4月
Q06415,工商所,发布时间,2007年4月
Q06445,经检队（总队、支队、大队）,发布时间,2005年8月
Q06447,,发布时间,2017年4月
Q06453,工商所,发布时间,2012年3月
Q06490,工商所,发布时间,2011年12月
Q06532,经检队（总队、支队、大队）,发布时间,2007年7月
Q06592,工商所,发布时间,2013年8月
Q06702,浙江省嘉兴市海盐县工商行政管理局,发布时间,2005年8月
Q06733,工商所,发布时间,2014年7月
Q06735,南京市地方税务局,发布时间,2015年7月
Q06766,经检队（总队、支队、大队）,发布时间,2009年6月
Q06786,江苏省苏州地方税务局第四税务分局,发布时间,2017年4月
Q06821,苏州工业园区市场监督管理局,发布时间,2017年4月
Q06839,江苏省张家港市人民法院,发布时间,2018年1月
Q06856,,发布时间,2015年8月
Q06870,工商所,发布时间,2011年8月
Q06923,,发布时间,2017年11月
Q06923,,发布时间,2017年1月
Q06929,经检队（总队、支队、大队）,发布时间,2008年10月
Q07013,江苏省张家港保税区工商行政管理局,发布时间,2018年4月
Q07015,经检队（总队、支队、大队）,发布时间,2008年8月
Q07055,苏州工业园区市场监督管理局,发布时间,2016年12月
Q07084,江苏省苏州地方税务局第四税务分局,发布时间,2017年5月
Q07116,昆山市环境保护局,发布时间,2017年9月
Q07138,经检队（总队、支队、大队）,发布时间,2014年4月
Q07170,工商所,发布时间,2007年11月
Q07180,江苏省苏州市中级人民法院,发布时间,2017年11月
Q07212,外滩工商所,发布时间,2011年3月
Q07246,江苏省苏州地方税务局第四税务分局,发布时间,2017年4月
Q07277,苏州工业园区市场监督管理局,发布时间,2018年3月
Q07284,江苏省苏州市吴中区环保局,发布时间,2016年2月
Q07288,,发布时间,2015年7月
Q07289,工商所,发布时间,2014年5月
Q07422,苏州市吴中地方税务局第二税务分局,发布时间,2017年8月
Q07422,浦南工商所,发布时间,2009年8月
Q07534,工商所,发布时间,2015年8月
Q07535,苏州市文化广电新闻出版局,发布时间,2015年12月
Q07551,经检队（总队、支队、大队）,发布时间,2007年10月
Q07677,江苏省苏州市姑苏区人民法院,发布时间,2016年9月
Q07677,经检队（总队、支队、大队）,发布时间,2006年3月
Q07693,张家港市住房和城乡建设局,发布时间,2016年2月
Q07813,江苏省苏州市中级人民法院,发布时间,2015年11月
Q07826,苏州吴中区市场监督管理局,发布时间,2017年9月
Q07840,浙江省奉化市人民法院,,2013年11月
Q07852,苏州市吴中区市场监督管理局郭巷分局,发布时间,2016年2月
Q07852,工商所,发布时间,2016年2月
Q07872,工商所,发布时间,2011年3月
Q07888,经检队（总队、支队、大队）,发布时间,2010年10月
Q07889,公平交易部门,发布时间,2008年10月
Q07903,苏州市吴中区市场监督管理局甪直分局,发布时间,2016年5月
Q07903,工商所,发布时间,2016年4月
Q07904,工商所,发布时间,2009年2月
Q07910,工商所,发布时间,2013年3月
Q07910,经检队（总队、支队、大队）,发布时间,2006年10月
Q08018,太仓市市场监督管理局,发布时间,2016年9月
Q08042,浙江省嘉兴市平湖市工商行政管理局,发布时间,2011年4月
Q08042,经检队（总队、支队、大队）,发布时间,2005年12月
Q08045,工商所,发布时间,2014年4月
Q08056,苏州市吴中区市场监督管理局木渎分局,发布时间,2016年6月
Q08080,工商所,发布时间,2012年8月
Q08121,苏州工业园区市场监督管理局,发布时间,2016年11月
Q08121,监督管理科,发布时间,2007年9月
Q08151,江苏省苏州工业园区人民法院,发布时间,2016年10月
Q08151,江苏省苏州工业园区人民法院,发布时间,2014年12月
Q08210,苏州市相城区国家税务局,发布时间,2016年5月
Q08263,江苏省苏州地方税务局第四税务分局,发布时间,2017年3月
Q08272,经检队（总队、支队、大队）,发布时间,2006年8月
Q08281,浙江省湖州市长兴县工商行政管理局,发布时间,2006年9月
Q08283,工商所,发布时间,2013年9月
Q08288,经检队（总队、支队、大队）,发布时间,2011年3月
Q08304,工商所,发布时间,2010年11月
Q08317,经检队（总队、支队、大队）,发布时间,2014年9月
Q08492,江苏省昆山市人民法院,,2014年5月
Q08573,苏州市相城区市场监督管理局,发布时间,2017年1月
Q08606,工商所,发布时间,2010年3月
Q08765,张家港市住房和城乡建设局,发布时间,2015年8月
Q08850,江苏省常熟市人民法院,发布时间,2018年1月
Q08850,江苏省苏州市姑苏区人民法院,发布时间,2015年8月
Q08850,江苏省苏州市姑苏区人民法院,发布时间,2015年6月
Q08990,经检队（总队、支队、大队）,发布时间,2008年7月
Q09051,昆山市环境保护局,发布时间,2018年3月
Q09112,经检队（总队、支队、大队）,发布时间,2005年11月
Q09113,经检队（总队、支队、大队）,发布时间,2008年8月
Q09172,张家港市市场监督管理局东城分局,发布时间,2015年9月
Q09172,工商所,发布时间,2015年8月
Q09362,工商所,发布时间,2013年11月
Q09395,苏州市张家港地方税务局第八税务分局,发布时间,2018年1月
Q09466,工商所,发布时间,2006年7月
Q09480,昆山市市场监督管理局周市分局,发布时间,2016年10月
Q09482,江苏省苏州市姑苏区人民法院,,2017年3月
Q09482,苏州市吴中区市场监督管理局临湖分局,发布时间,2015年11月
Q09482,工商所,发布时间,2015年10月
Q09487,经检队（总队、支队、大队）,发布时间,2013年8月
Q09504,工商所,发布时间,2010年12月
Q09611,经检队（总队、支队、大队）,发布时间,2005年11月
Q09712,经检队（总队、支队、大队）,发布时间,2010年1月
Q09733,市场监督管理局东渚分局,发布时间,2017年1月
Q09765,江苏省昆山市人民法院,,2015年2月
Q09765,江苏省昆山市人民法院,,2014年11月
Q09766,工商所,发布时间,2014年7月
Q09820,工商所,发布时间,2012年10月
Q09873,经检队（总队、支队、大队）,发布时间,2007年10月
Q09953,工商所,发布时间,2009年4月
Q09964,工商所,发布时间,2012年8月
Q10043,吴中区环境保护局,发布时间,2016年8月
Q10101,工商所,发布时间,2007年3月
Q10163,江苏省太仓市人民法院,发布时间,2017年4月
Q10163,经检队（总队、支队、大队）,发布时间,2008年3月
Q10166,经检队（总队、支队、大队）,发布时间,2008年7月
Q10175,,发布时间,2016年8月
Q10175,,发布时间,2015年7月
Q10229,经检队（总队、支队、大队）,发布时间,2014年7月
Q10252,江苏省苏州市姑苏区人民法院,,2016年12月
Q10259,公平交易部门,发布时间,2007年3月
Q10420,,发布时间,2018年2月
Q10420,,发布时间,2017年12月
Q10420,,发布时间,2017年11月
Q10420,,发布时间,2017年1月
Q10420,,发布时间,2015年10月
Q10420,,发布时间,2015年2月
Q10456,沙头角海关,发布时间,2016年10月
Q10469,江苏省苏州市环保局,发布时间,2016年12月
Q10469,江苏省苏州市环保局,发布时间,2016年7月
Q10469,,发布时间,2016年3月
Q10511,经检队（总队、支队、大队）,发布时间,2007年9月
Q10524,工商所,发布时间,2007年4月
Q10525,经检队（总队、支队、大队）,发布时间,2013年12月
Q10525,工商所,发布时间,2012年12月
Q10525,凉城工商所,发布时间,2011年9月
Q10628,经检队（总队、支队、大队）,发布时间,2007年11月
Q10639,经检队（总队、支队、大队）,发布时间,2006年4月
Q10648,工商所,发布时间,2012年5月
Q10678,工商所,发布时间,2012年7月
Q10704,工商所,发布时间,2010年7月
Q10751,江苏省苏州地方税务局第五税务分局,发布时间,2017年7月
Q10757,张家港市市场监督管理局东城分局,发布时间,2014年11月
Q10760,广东省深圳市中级人民法院,发布时间,2017年6月
Q10790,,发布时间,2017年10月
Q10790,,发布时间,2017年1月
Q10817,经检队（总队、支队、大队）,发布时间,2007年5月
Q10837,经检队（总队、支队、大队）,发布时间,2007年9月
Q10986,城市管理局,发布时间,2018年1月
Q10999,工商所,发布时间,2013年11月
Q11109,工商所,发布时间,2011年7月
Q11118,经检队（总队、支队、大队）,发布时间,2008年1月
Q11140,消费者权益保护部门,发布时间,2009年5月
Q11163,经检队（总队、支队、大队）,发布时间,2007年7月
Q11231,工商所,发布时间,2011年8月
Q11275,经检队（总队、支队、大队）,发布时间,2008年3月
Q11279,江苏省苏州地方税务局第四税务分局,发布时间,2017年3月
Q11296,苏州吴中区市场监督管理局,发布时间,2017年7月
Q11330,工商所,发布时间,2011年10月
Q11347,苏州吴中区市场监督管理局,发布时间,2017年3月
Q11350,苏州市张家港地方税务局稽查局,发布时间,2017年6月
Q11362,,发布时间,2016年3月
Q11499,江苏省苏州地方税务局第四税务分局,发布时间,2017年3月
Q11518,工商所,发布时间,2016年3月
Q11545,苏州市文化广电新闻出版局,发布时间,2016年10月
Q11585,检查中队,发布时间,2009年9月
Q11585,宜川工商所,发布时间,2009年4月
Q11585,经检队（总队、支队、大队）,发布时间,2007年6月
Q11630,江苏省南京市秦淮区人民法院,发布时间,2018年1月
Q11810,昆山市市场监督管理局,发布时间,2015年10月
Q11810,工商所,发布时间,2015年5月
Q11951,工商所,发布时间,2010年8月
Q11955,苏州出入境检验检疫局,发布时间,2016年4月
Q11960,经检队（总队、支队、大队）,发布时间,2011年4月
Q12030,,发布时间,2016年11月
Q12030,江苏省苏州市常熟市环保局,发布时间,2016年9月
Q12030,,发布时间,2016年1月
Q12030,,发布时间,2015年4月
Q12048,苏州市吴中区市场监督管理局城区分局,发布时间,2017年9月
Q12048,苏州市姑苏区市场监督管理局,发布时间,2015年6月
Q12048,工商所,发布时间,2015年4月
Q12063,苏州市昆山地方税务局第五税务分局,发布时间,2017年5月
Q12077,经检队（总队、支队、大队）,发布时间,2014年7月
Q12162,工商所,发布时间,2012年12月
Q12248,工商所,发布时间,2006年7月
Q12329,,发布时间,2014年6月
Q12417,江苏省苏州市吴江区人民法院,,2015年1月
Q12443,,发布时间,2017年1月
Q12443,,发布时间,2016年1月
Q12455,公平交易部门,发布时间,2011年9月
Q12486,苏州市吴中区市场监督管理局郭巷分局,发布时间,2017年4月
Q12522,苏州市吴中区市场监督管理局,发布时间,2015年7月
Q12522,工商所,发布时间,2015年7月
Q12530,工商所,发布时间,2010年6月
Q12659,湖北省通山县人民法院,,2014年11月
Q12674,,发布时间,2015年2月
Q12706,工商所,发布时间,2007年10月
Q12766,昆山市环境保护局,发布时间,2017年7月
Q12780,昆山市环境保护局,发布时间,2017年7月
Q12796,苏州市昆山地方税务局第三税务分局,发布时间,2017年4月
Q12877,苏州市吴中地方税务局第四税务分局,发布时间,2018年1月
Q21997,江苏省张家港保税区工商行政管理局,发布时间,2016年11月
Q31751,,发布时间,2017年2月
Q31751,大桥工商所,发布时间,2012年6月
Q32828,经检队（总队、支队、大队）,发布时间,2008年7月
Q32828,工商所,发布时间,2007年4月
Q32828,公平交易部门,发布时间,2006年11月
Q40733,苏州市住房和城乡建设局,发布时间,2017年4月
Q40733,苏州市住房和城乡建设局,发布时间,2017年2月
Q54068,管理科,发布时间,2009年8月
Q62842,江苏省苏州市中级人民法院,发布时间,2015年4月
Q62843,苏州工业园区市场监督管理局,发布时间,2016年12月
Q62843,苏州工业园区市场监督管理局,发布时间,2016年6月
Q62843,经检队（总队、支队、大队）,发布时间,2006年11月
Q62987,,发布时间,2015年7月
Q63008,太仓市市场监督管理局,发布时间,2015年10月
Q63008,工商所,发布时间,2015年4月
Q63022,经检队（总队、支队、大队）,发布时间,2005年8月
Q63055,经检队（总队、支队、大队）,发布时间,2005年8月
Q63059,江苏省苏州市吴中区环保局,发布时间,2017年8月
Q63059,苏州市吴中区市场监督管理局胥口分局,发布时间,2016年6月
Q63129,经检队（总队、支队、大队）,发布时间,2009年9月
Q63174,,发布时间,2015年7月
Q63184,工商所,发布时间,2012年6月
Q63184,工商所,发布时间,2011年4月
Q63198,工商所,发布时间,2013年5月
Q63440,经检队（总队、支队、大队）,发布时间,2008年8月
Q63498,工商所,发布时间,2014年7月
Q63534,苏州市吴中区市场监督管理局郭巷分局,发布时间,2017年3月
Q63576,苏州市相城区国家税务局,发布时间,2016年1月
Q63593,,发布时间,2018年1月
Q63593,长沙市天心区国家税务局,发布时间,2018年1月
Q63597,工商所,发布时间,2013年12月
Q63647,公平交易部门,发布时间,2011年6月
Q63678,苏州市吴中地方税务局第三税务分局,发布时间,2017年7月
Q63704,苏州工业园区市场监督管理局,发布时间,2014年10月
Q63704,经检队（总队、支队、大队）,发布时间,2014年7月
Q63708,经检队（总队、支队、大队）,发布时间,2008年5月
Q63728,江苏省常熟市人民法院,,2014年2月
Q63758,工商所,发布时间,2009年1月
Q63844,,发布时间,2017年4月
Q63910,江苏省张家港市人民法院,,2014年9月
Q64017,公平交易部门,发布时间,2006年10月
Q64017,经检队（总队、支队、大队）,发布时间,2005年10月
Q64060,南通市通州区市场监督管理局二甲分局,发布时间,2018年4月
Q64162,苏州市相城区市场监督管理局,发布时间,2017年1月
Q64266,苏州吴中区市场监督管理局,发布时间,2017年11月
Q64266,苏州吴中区市场监督管理局,发布时间,2016年11月
Q64385,江苏省苏州工业园区人民法院,发布时间,2017年11月
Q64405,,发布时间,2017年1月
Q64408,经检队（总队、支队、大队）,发布时间,2014年12月
Q64410,工商所,发布时间,2008年5月
Q64514,工商所,发布时间,2012年4月
Q64526,,发布时间,2017年5月
Q64526,苏州市吴中区市场监督管理局城区分局,发布时间,2017年5月
Q64548,江苏省苏州地方税务局第四税务分局,发布时间,2017年4月
Q64556,苏州市相城区市场监督管理局,发布时间,2018年2月
Q64622,,发布时间,2017年11月
Q64622,,发布时间,2017年1月
Q64622,深圳市宝安区国家税务局西乡税务分局,发布时间,2016年6月
Q64622,深圳市宝安区国家税务局西乡税务分局,发布时间,2016年3月
Q64651,,发布时间,2015年7月
Q64702,吴中区环境保护局,发布时间,2016年5月
Q64779,经检队（总队、支队、大队）,发布时间,2014年5月
Q64804,,发布时间,2015年5月
Q64809,注册登记部门,发布时间,2006年11月
Q64953,经检队（总队、支队、大队）,发布时间,2009年3月
Q64997,经检队（总队、支队、大队）,发布时间,2014年10月
Q65033,经检队（总队、支队、大队）,发布时间,2014年4月
Q65092,,发布时间,2018年1月
Q65110,工商所,发布时间,2012年4月
Q65127,苏州市邮政管理局,发布时间,2017年10月
Q65175,工商所,发布时间,2012年3月
Q65224,经检队（总队、支队、大队）,发布时间,2008年6月
Q65240,苏州昆山市环保局,发布时间,2017年1月
Q65241,工商所,发布时间,2012年3月
Q65272,,发布时间,2018年3月
Q65291,工商所,发布时间,2013年8月
Q65292,苏州市相城区市场监督管理局,发布时间,2016年5月
Q65296,公平交易部门,发布时间,2008年7月
Q65331,苏州吴中区市场监督管理局,发布时间,2016年12月
Q65345,经检队（总队、支队、大队）,发布时间,2010年1月
Q65382,昆山市市场监督管理局周市分局,发布时间,2016年8月
Q65390,工商所,发布时间,2014年6月
Q65427,工商所,发布时间,2011年3月
Q65484,工商所,发布时间,2014年5月
