,小微企业ID,行政处罚次数,处罚机关_工商,处罚机关_市场,处罚机关_建设,处罚机关_文化,处罚机关_未知,处罚机关_法院,处罚机关_税务,处罚机关_管理科,处罚机关_经检,处罚机关_邮政
48,Q01300,1,0,0,0,0,0,0,1,0,0,0
49,Q01307,1,1,0,0,0,0,0,0,0,0,0
50,Q01365,1,0,1,0,0,0,0,0,0,0,0
51,Q01368,1,0,0,0,0,0,0,0,0,1,0
52,Q01506,1,0,0,0,0,1,0,0,0,0,0
53,Q01552,1,0,0,0,0,0,0,1,0,0,0
54,Q01578,2,2,0,0,0,0,0,0,0,0,0
55,Q01628,1,1,0,0,0,0,0,0,0,0,0
56,Q01643,1,1,0,0,0,0,0,0,0,0,0
57,Q01706,1,1,0,0,0,0,0,0,0,0,0
58,Q01768,1,0,0,0,0,0,0,0,0,1,0
59,Q01923,1,0,0,1,0,0,0,0,0,0,0
60,Q01936,1,1,0,0,0,0,0,0,0,0,0
61,Q01984,1,1,0,0,0,0,0,0,0,0,0
62,Q02004,4,0,0,0,0,3,1,0,0,0,0
63,Q02046,1,0,0,0,0,0,0,0,1,0,0
64,Q02104,1,0,0,0,0,0,0,0,0,1,0
65,Q02184,1,0,0,0,0,0,0,1,0,0,0
66,Q02204,1,1,0,0,0,0,0,0,0,0,0
67,Q02245,1,0,1,0,0,0,0,0,0,0,0
68,Q02398,1,0,0,0,0,0,0,1,0,0,0
69,Q02424,1,1,0,0,0,0,0,0,0,0,0
70,Q02432,2,1,1,0,0,0,0,0,0,0,0
71,Q02473,2,1,1,0,0,0,0,0,0,0,0
72,Q02611,1,0,0,0,0,0,0,0,0,0,1
73,Q02633,1,0,0,0,0,0,0,0,0,1,0
74,Q02652,1,0,0,0,0,1,0,0,0,0,0
75,Q02666,1,0,0,0,0,0,0,0,1,0,0
76,Q02697,1,1,0,0,0,0,0,0,0,0,0
77,Q02717,1,0,1,0,0,0,0,0,0,0,0
78,Q02729,1,0,0,0,1,0,0,0,0,0,0
79,Q02819,1,0,0,0,0,0,0,0,1,0,0
80,Q02828,1,0,0,0,0,0,0,0,0,1,0
81,Q02841,1,1,0,0,0,0,0,0,0,0,0
82,Q02853,1,0,0,0,0,0,0,0,0,1,0
83,Q02887,1,0,0,0,0,0,0,0,0,1,0
84,Q02946,1,1,0,0,0,0,0,0,0,0,0
85,Q02973,1,0,0,0,0,1,0,0,0,0,0
86,Q02982,1,0,0,0,0,1,0,0,0,0,0
87,Q03020,1,0,0,0,0,0,1,0,0,0,0
88,Q03067,1,1,0,0,0,0,0,0,0,0,0
89,Q03088,1,0,0,0,0,0,0,0,1,0,0
90,Q03093,1,1,0,0,0,0,0,0,0,0,0
91,Q03098,2,0,0,0,0,2,0,0,0,0,0
92,Q03186,1,0,0,0,0,0,0,1,0,0,0
93,Q03248,1,0,1,0,0,0,0,0,0,0,0
94,Q03277,1,0,1,0,0,0,0,0,0,0,0
95,Q03331,1,0,1,0,0,0,0,0,0,0,0
96,Q03373,1,0,1,0,0,0,0,0,0,0,0
97,Q03454,1,0,0,1,0,0,0,0,0,0,0
98,Q03466,2,0,0,0,0,1,1,0,0,0,0
99,Q03535,1,0,0,0,0,0,0,0,0,1,0
100,Q03537,1,0,1,0,0,0,0,0,0,0,0
101,Q03539,1,0,0,0,0,0,1,0,0,0,0
102,Q03559,1,1,0,0,0,0,0,0,0,0,0
103,Q03665,1,0,1,0,0,0,0,0,0,0,0
104,Q03668,2,0,0,1,0,0,0,0,0,1,0
105,Q03802,1,0,0,0,0,0,1,0,0,0,0
106,Q03831,1,1,0,0,0,0,0,0,0,0,0
107,Q03847,1,1,0,0,0,0,0,0,0,0,0
108,Q03866,1,0,1,0,0,0,0,0,0,0,0
109,Q03910,3,2,1,0,0,0,0,0,0,0,0
110,Q03981,1,1,0,0,0,0,0,0,0,0,0
111,Q04012,1,1,0,0,0,0,0,0,0,0,0
112,Q04143,1,0,0,0,0,0,1,0,0,0,0
113,Q04165,2,1,1,0,0,0,0,0,0,0,0
114,Q04191,1,1,0,0,0,0,0,0,0,0,0
115,Q04282,1,0,1,0,0,0,0,0,0,0,0
116,Q04301,1,1,0,0,0,0,0,0,0,0,0
117,Q04319,1,1,0,0,0,0,0,0,0,0,0
118,Q04344,1,0,0,0,0,1,0,0,0,0,0
119,Q04355,1,1,0,0,0,0,0,0,0,0,0
120,Q04367,1,1,0,0,0,0,0,0,0,0,0
121,Q04395,1,0,0,0,0,0,0,1,0,0,0
122,Q04502,1,0,1,0,0,0,0,0,0,0,0
123,Q04599,1,1,0,0,0,0,0,0,0,0,0
124,Q04633,1,0,1,0,0,0,0,0,0,0,0
125,Q04685,1,1,0,0,0,0,0,0,0,0,0
126,Q04717,1,0,0,0,0,0,0,0,0,1,0
127,Q04805,1,1,0,0,0,0,0,0,0,0,0
128,Q04815,1,0,1,0,0,0,0,0,0,0,0
129,Q04828,2,1,1,0,0,0,0,0,0,0,0
130,Q04854,1,1,0,0,0,0,0,0,0,0,0
131,Q04984,1,0,0,0,0,0,0,0,1,0,0
132,Q05144,1,0,1,0,0,0,0,0,0,0,0
133,Q05152,2,1,0,0,0,0,0,1,0,0,0
134,Q05181,2,2,0,0,0,0,0,0,0,0,0
135,Q05208,1,1,0,0,0,0,0,0,0,0,0
136,Q05250,1,0,1,0,0,0,0,0,0,0,0
137,Q05256,1,0,1,0,0,0,0,0,0,0,0
138,Q05264,1,1,0,0,0,0,0,0,0,0,0
139,Q05284,1,0,0,0,0,0,0,0,0,1,0
140,Q05339,1,1,0,0,0,0,0,0,0,0,0
141,Q05380,4,4,0,0,0,0,0,0,0,0,0
142,Q05444,2,2,0,0,0,0,0,0,0,0,0
143,Q05500,1,0,0,0,0,0,0,0,0,1,0
144,Q05503,1,0,0,0,0,0,0,0,0,1,0
145,Q05594,1,1,0,0,0,0,0,0,0,0,0
146,Q05665,1,0,1,0,0,0,0,0,0,0,0
147,Q05754,1,0,0,0,0,0,1,0,0,0,0
148,Q05834,1,0,0,0,0,1,0,0,0,0,0
149,Q05838,1,0,0,0,0,0,0,0,0,1,0
150,Q05914,1,1,0,0,0,0,0,0,0,0,0
151,Q05943,1,1,0,0,0,0,0,0,0,0,0
152,Q05957,1,0,0,0,0,0,0,0,0,1,0
153,Q06022,1,0,1,0,0,0,0,0,0,0,0
154,Q06033,1,0,0,0,0,0,1,0,0,0,0
155,Q06084,1,0,1,0,0,0,0,0,0,0,0
156,Q06091,2,1,1,0,0,0,0,0,0,0,0
157,Q06252,1,0,0,0,0,0,0,1,0,0,0
158,Q06260,1,0,0,0,0,0,0,0,0,1,0
159,Q06284,1,0,0,0,0,0,0,1,0,0,0
160,Q06298,1,0,0,0,0,1,0,0,0,0,0
161,Q06383,5,0,0,0,0,3,0,2,0,0,0
162,Q06397,1,0,0,0,0,0,0,1,0,0,0
163,Q06403,1,1,0,0,0,0,0,0,0,0,0
164,Q06409,1,0,0,0,0,0,0,1,0,0,0
165,Q06415,1,1,0,0,0,0,0,0,0,0,0
166,Q06445,1,0,0,0,0,0,0,0,0,1,0
167,Q06447,1,0,0,0,0,1,0,0,0,0,0
168,Q06453,1,1,0,0,0,0,0,0,0,0,0
169,Q06490,1,1,0,0,0,0,0,0,0,0,0
170,Q06532,1,0,0,0,0,0,0,0,0,1,0
171,Q06592,1,1,0,0,0,0,0,0,0,0,0
172,Q06702,1,1,0,0,0,0,0,0,0,0,0
173,Q06733,1,1,0,0,0,0,0,0,0,0,0
174,Q06735,1,0,0,0,0,0,0,1,0,0,0
175,Q06766,1,0,0,0,0,0,0,0,0,1,0
176,Q06786,1,0,0,0,0,0,0,1,0,0,0
177,Q06821,1,0,1,0,0,0,0,0,0,0,0
178,Q06839,1,0,0,0,0,0,1,0,0,0,0
179,Q06856,1,0,0,0,0,1,0,0,0,0,0
180,Q06870,1,1,0,0,0,0,0,0,0,0,0
181,Q06923,2,0,0,0,0,2,0,0,0,0,0
182,Q06929,1,0,0,0,0,0,0,0,0,1,0
183,Q07013,1,1,0,0,0,0,0,0,0,0,0
184,Q07015,1,0,0,0,0,0,0,0,0,1,0
185,Q07055,1,0,1,0,0,0,0,0,0,0,0
186,Q07084,1,0,0,0,0,0,0,1,0,0,0
187,Q07116,1,0,0,0,0,0,0,0,1,0,0
188,Q07138,1,0,0,0,0,0,0,0,0,1,0
189,Q07170,1,1,0,0,0,0,0,0,0,0,0
190,Q07180,1,0,0,0,0,0,1,0,0,0,0
191,Q07212,1,1,0,0,0,0,0,0,0,0,0
192,Q07246,1,0,0,0,0,0,0,1,0,0,0
193,Q07277,1,0,1,0,0,0,0,0,0,0,0
194,Q07284,1,0,0,0,0,0,0,0,1,0,0
195,Q07288,1,0,0,0,0,1,0,0,0,0,0
196,Q07289,1,1,0,0,0,0,0,0,0,0,0
197,Q07422,2,1,0,0,0,0,0,1,0,0,0
198,Q07534,1,1,0,0,0,0,0,0,0,0,0
199,Q07535,1,0,0,0,1,0,0,0,0,0,0
200,Q07551,1,0,0,0,0,0,0,0,0,1,0
201,Q07677,2,0,0,0,0,0,1,0,0,1,0
202,Q07693,1,0,0,1,0,0,0,0,0,0,0
203,Q07813,1,0,0,0,0,0,1,0,0,0,0
204,Q07826,1,0,1,0,0,0,0,0,0,0,0
205,Q07840,1,0,0,0,0,0,1,0,0,0,0
206,Q07852,2,1,1,0,0,0,0,0,0,0,0
207,Q07872,1,1,0,0,0,0,0,0,0,0,0
208,Q07888,1,0,0,0,0,0,0,0,0,1,0
209,Q07889,1,0,1,0,0,0,0,0,0,0,0
210,Q07903,2,1,1,0,0,0,0,0,0,0,0
211,Q07904,1,1,0,0,0,0,0,0,0,0,0
212,Q07910,2,1,0,0,0,0,0,0,0,1,0
213,Q08018,1,0,1,0,0,0,0,0,0,0,0
214,Q08042,2,1,0,0,0,0,0,0,0,1,0
215,Q08045,1,1,0,0,0,0,0,0,0,0,0
216,Q08056,1,0,1,0,0,0,0,0,0,0,0
217,Q08080,1,1,0,0,0,0,0,0,0,0,0
218,Q08121,2,0,2,0,0,0,0,0,0,0,0
219,Q08151,2,0,0,0,0,0,2,0,0,0,0
220,Q08210,1,0,0,0,0,0,0,1,0,0,0
221,Q08263,1,0,0,0,0,0,0,1,0,0,0
222,Q08272,1,0,0,0,0,0,0,0,0,1,0
223,Q08281,1,1,0,0,0,0,0,0,0,0,0
224,Q08283,1,1,0,0,0,0,0,0,0,0,0
225,Q08288,1,0,0,0,0,0,0,0,0,1,0
226,Q08304,1,1,0,0,0,0,0,0,0,0,0
227,Q08317,1,0,0,0,0,0,0,0,0,1,0
228,Q08492,1,0,0,0,0,0,1,0,0,0,0
229,Q08573,1,0,1,0,0,0,0,0,0,0,0
230,Q08606,1,1,0,0,0,0,0,0,0,0,0
231,Q08765,1,0,0,1,0,0,0,0,0,0,0
232,Q08850,3,0,0,0,0,0,3,0,0,0,0
233,Q08990,1,0,0,0,0,0,0,0,0,1,0
234,Q09051,1,0,0,0,0,0,0,0,1,0,0
235,Q09112,1,0,0,0,0,0,0,0,0,1,0
236,Q09113,1,0,0,0,0,0,0,0,0,1,0
237,Q09172,2,1,1,0,0,0,0,0,0,0,0
238,Q09362,1,1,0,0,0,0,0,0,0,0,0
239,Q09395,1,0,0,0,0,0,0,1,0,0,0
240,Q09466,1,1,0,0,0,0,0,0,0,0,0
241,Q09480,1,0,1,0,0,0,0,0,0,0,0
242,Q09482,3,1,1,0,0,0,1,0,0,0,0
243,Q09487,1,0,0,0,0,0,0,0,0,1,0
244,Q09504,1,1,0,0,0,0,0,0,0,0,0
245,Q09611,1,0,0,0,0,0,0,0,0,1,0
246,Q09712,1,0,0,0,0,0,0,0,0,1,0
247,Q09733,1,0,1,0,0,0,0,0,0,0,0
248,Q09765,2,0,0,0,0,0,2,0,0,0,0
249,Q09766,1,1,0,0,0,0,0,0,0,0,0
250,Q09820,1,1,0,0,0,0,0,0,0,0,0
251,Q09873,1,0,0,0,0,0,0,0,0,1,0
252,Q09953,1,1,0,0,0,0,0,0,0,0,0
253,Q09964,1,1,0,0,0,0,0,0,0,0,0
254,Q10043,1,0,0,0,0,0,0,0,1,0,0
255,Q10101,1,1,0,0,0,0,0,0,0,0,0
256,Q10163,2,0,0,0,0,0,1,0,0,1,0
257,Q10166,1,0,0,0,0,0,0,0,0,1,0
258,Q10175,2,0,0,0,0,2,0,0,0,0,0
259,Q10229,1,0,0,0,0,0,0,0,0,1,0
260,Q10252,1,0,0,0,0,0,1,0,0,0,0
261,Q10259,1,0,1,0,0,0,0,0,0,0,0
262,Q10420,6,0,0,0,0,6,0,0,0,0,0
263,Q10456,1,0,0,0,0,0,0,1,0,0,0
264,Q10469,3,0,0,0,0,1,0,0,2,0,0
265,Q10511,1,0,0,0,0,0,0,0,0,1,0
266,Q10524,1,1,0,0,0,0,0,0,0,0,0
267,Q10525,3,2,0,0,0,0,0,0,0,1,0
268,Q10628,1,0,0,0,0,0,0,0,0,1,0
269,Q10639,1,0,0,0,0,0,0,0,0,1,0
270,Q10648,1,1,0,0,0,0,0,0,0,0,0
271,Q10678,1,1,0,0,0,0,0,0,0,0,0
272,Q10704,1,1,0,0,0,0,0,0,0,0,0
273,Q10751,1,0,0,0,0,0,0,1,0,0,0
274,Q10757,1,0,1,0,0,0,0,0,0,0,0
275,Q10760,1,0,0,0,0,0,1,0,0,0,0
276,Q10790,2,0,0,0,0,2,0,0,0,0,0
277,Q10817,1,0,0,0,0,0,0,0,0,1,0
278,Q10837,1,0,0,0,0,0,0,0,0,1,0
279,Q10986,1,0,0,1,0,0,0,0,0,0,0
280,Q10999,1,1,0,0,0,0,0,0,0,0,0
281,Q11109,1,1,0,0,0,0,0,0,0,0,0
282,Q11118,1,0,0,0,0,0,0,0,0,1,0
283,Q11140,1,0,1,0,0,0,0,0,0,0,0
284,Q11163,1,0,0,0,0,0,0,0,0,1,0
285,Q11231,1,1,0,0,0,0,0,0,0,0,0
286,Q11275,1,0,0,0,0,0,0,0,0,1,0
287,Q11279,1,0,0,0,0,0,0,1,0,0,0
288,Q11296,1,0,1,0,0,0,0,0,0,0,0
289,Q11330,1,1,0,0,0,0,0,0,0,0,0
290,Q11347,1,0,1,0,0,0,0,0,0,0,0
291,Q11350,1,0,0,0,0,0,0,1,0,0,0
292,Q11362,1,0,0,0,0,1,0,0,0,0,0
293,Q11499,1,0,0,0,0,0,0,1,0,0,0
294,Q11518,1,1,0,0,0,0,0,0,0,0,0
295,Q11545,1,0,0,0,1,0,0,0,0,0,0
296,Q11585,3,1,0,0,0,0,0,0,0,2,0
297,Q11630,1,0,0,0,0,0,1,0,0,0,0
298,Q11810,2,1,1,0,0,0,0,0,0,0,0
299,Q11951,1,1,0,0,0,0,0,0,0,0,0
300,Q11955,1,0,0,0,0,0,0,1,0,0,0
301,Q11960,1,0,0,0,0,0,0,0,0,1,0
302,Q12030,4,0,0,0,0,3,0,0,1,0,0
303,Q12048,3,1,2,0,0,0,0,0,0,0,0
304,Q12063,1,0,0,0,0,0,0,1,0,0,0
305,Q12077,1,0,0,0,0,0,0,0,0,1,0
306,Q12162,1,1,0,0,0,0,0,0,0,0,0
307,Q12248,1,1,0,0,0,0,0,0,0,0,0
308,Q12329,1,0,0,0,0,1,0,0,0,0,0
309,Q12417,1,0,0,0,0,0,1,0,0,0,0
310,Q12443,2,0,0,0,0,2,0,0,0,0,0
311,Q12455,1,0,1,0,0,0,0,0,0,0,0
312,Q12486,1,0,1,0,0,0,0,0,0,0,0
313,Q12522,2,1,1,0,0,0,0,0,0,0,0
314,Q12530,1,1,0,0,0,0,0,0,0,0,0
315,Q12659,1,0,0,0,0,0,1,0,0,0,0
316,Q12674,1,0,0,0,0,1,0,0,0,0,0
317,Q12706,1,1,0,0,0,0,0,0,0,0,0
318,Q12766,1,0,0,0,0,0,0,0,1,0,0
319,Q12780,1,0,0,0,0,0,0,0,1,0,0
320,Q12796,1,0,0,0,0,0,0,1,0,0,0
321,Q12877,1,0,0,0,0,0,0,1,0,0,0
322,Q21997,1,1,0,0,0,0,0,0,0,0,0
323,Q31751,2,1,0,0,0,1,0,0,0,0,0
324,Q32828,3,1,1,0,0,0,0,0,0,1,0
325,Q40733,2,0,0,2,0,0,0,0,0,0,0
326,Q54068,1,0,0,0,0,0,0,0,1,0,0
327,Q62842,1,0,0,0,0,0,1,0,0,0,0
328,Q62843,3,0,2,0,0,0,0,0,0,1,0
329,Q62987,1,0,0,0,0,1,0,0,0,0,0
330,Q63008,2,1,1,0,0,0,0,0,0,0,0
331,Q63022,1,0,0,0,0,0,0,0,0,1,0
332,Q63055,1,0,0,0,0,0,0,0,0,1,0
333,Q63059,2,0,1,0,0,0,0,0,1,0,0
334,Q63129,1,0,0,0,0,0,0,0,0,1,0
335,Q63174,1,0,0,0,0,1,0,0,0,0,0
336,Q63184,2,2,0,0,0,0,0,0,0,0,0
337,Q63198,1,1,0,0,0,0,0,0,0,0,0
338,Q63440,1,0,0,0,0,0,0,0,0,1,0
339,Q63498,1,1,0,0,0,0,0,0,0,0,0
340,Q63534,1,0,1,0,0,0,0,0,0,0,0
341,Q63576,1,0,0,0,0,0,0,1,0,0,0
342,Q63593,2,0,0,0,0,1,0,1,0,0,0
343,Q63597,1,1,0,0,0,0,0,0,0,0,0
344,Q63647,1,0,1,0,0,0,0,0,0,0,0
345,Q63678,1,0,0,0,0,0,0,1,0,0,0
346,Q63704,2,0,1,0,0,0,0,0,0,1,0
347,Q63708,1,0,0,0,0,0,0,0,0,1,0
348,Q63728,1,0,0,0,0,0,1,0,0,0,0
349,Q63758,1,1,0,0,0,0,0,0,0,0,0
350,Q63844,1,0,0,0,0,1,0,0,0,0,0
351,Q63910,1,0,0,0,0,0,1,0,0,0,0
352,Q64017,2,0,1,0,0,0,0,0,0,1,0
353,Q64060,1,0,1,0,0,0,0,0,0,0,0
354,Q64162,1,0,1,0,0,0,0,0,0,0,0
355,Q64266,2,0,2,0,0,0,0,0,0,0,0
356,Q64385,1,0,0,0,0,0,1,0,0,0,0
357,Q64405,1,0,0,0,0,1,0,0,0,0,0
358,Q64408,1,0,0,0,0,0,0,0,0,1,0
359,Q64410,1,1,0,0,0,0,0,0,0,0,0
360,Q64514,1,1,0,0,0,0,0,0,0,0,0
361,Q64526,2,0,1,0,0,1,0,0,0,0,0
362,Q64548,1,0,0,0,0,0,0,1,0,0,0
363,Q64556,1,0,1,0,0,0,0,0,0,0,0
364,Q64622,4,0,0,0,0,2,0,2,0,0,0
365,Q64651,1,0,0,0,0,1,0,0,0,0,0
366,Q64702,1,0,0,0,0,0,0,0,1,0,0
367,Q64779,1,0,0,0,0,0,0,0,0,1,0
368,Q64804,1,0,0,0,0,1,0,0,0,0,0
369,Q64809,1,1,0,0,0,0,0,0,0,0,0
370,Q64953,1,0,0,0,0,0,0,0,0,1,0
371,Q64997,1,0,0,0,0,0,0,0,0,1,0
372,Q65033,1,0,0,0,0,0,0,0,0,1,0
373,Q65092,1,0,0,0,0,1,0,0,0,0,0
374,Q65110,1,1,0,0,0,0,0,0,0,0,0
375,Q65127,1,0,0,0,0,0,0,0,0,0,1
376,Q65175,1,1,0,0,0,0,0,0,0,0,0
377,Q65224,1,0,0,0,0,0,0,0,0,1,0
378,Q65240,1,0,0,0,0,0,0,0,1,0,0
379,Q65241,1,1,0,0,0,0,0,0,0,0,0
380,Q65272,1,0,0,0,0,1,0,0,0,0,0
381,Q65291,1,1,0,0,0,0,0,0,0,0,0
382,Q65292,1,0,1,0,0,0,0,0,0,0,0
383,Q65296,1,0,1,0,0,0,0,0,0,0,0
384,Q65331,1,0,1,0,0,0,0,0,0,0,0
385,Q65345,1,0,0,0,0,0,0,0,0,1,0
386,Q65382,1,0,1,0,0,0,0,0,0,0,0
387,Q65390,1,1,0,0,0,0,0,0,0,0,0
388,Q65427,1,1,0,0,0,0,0,0,0,0,0
389,Q65484,1,1,0,0,0,0,0,0,0,0,0
