,小微企业ID,欠税税务机关,所欠税种,欠税余额(元)
127,Q01893,1,5,1.0
128,Q01894,1,5,1.0
129,Q01907,1,5,1.0
130,Q01915,3,5,1.0
131,Q01934,1,4,1.0
132,Q01950,1,4,1.0
133,Q01984,1,8,1.0
134,Q01991,3,5,1.0
135,Q01996,16,29,9.0
136,Q02004,10,21,7.0
137,Q02006,3,1,1.0
138,Q02014,2,1,2.0
139,Q02016,1,3,1.0
140,Q02020,8,16,4.0
141,Q02022,9,22,5.0
142,Q02026,2,1,1.0
143,Q02027,6,9,2.0
144,Q02043,9,24,5.0
145,Q02051,2,1,1.0
146,Q02065,1,4,1.0
147,Q02109,1,5,1.0
148,Q02114,1,4,1.0
149,Q02168,5,13,3.0
150,Q02170,2,1,1.0
151,Q02197,5,13,3.0
152,Q02200,4,10,2.0
153,Q02257,1,4,1.0
154,Q02262,6,4,3.0
155,Q02268,2,9,2.0
156,Q02275,2,1,1.0
157,Q02293,3,8,1.0
158,Q02353,1,5,1.0
159,Q02378,1,4,1.0
160,Q02385,1,8,1.0
161,Q02428,1,4,1.0
162,Q02452,2,9,2.0
163,Q02471,2,5,1.0
164,Q02489,3,1,3.0
165,Q02498,5,14,4.0
166,Q02501,2,9,14.0
167,Q02552,3,1,1.0
168,Q02591,1,8,1.0
169,Q02601,2,9,2.0
170,Q02621,4,10,2.0
171,Q02622,3,6,7.0
172,Q02668,1,3,1.0
173,Q02678,2,7,2.0
174,Q02691,2,9,2.0
175,Q02700,3,1,1.0
176,Q02729,2,1,1.0
177,Q02740,16,22,8.0
178,Q02746,6,15,3.0
179,Q02752,1,3,1.0
180,Q02760,2,1,1.0
181,Q02764,7,15,4.0
182,Q02765,2,1,1.0
183,Q02767,5,11,3.0
184,Q02770,9,25,9.0
185,Q02803,4,16,2.0
186,Q02813,1,3,1.0
187,Q02863,3,4,1.0
188,Q02871,1,4,1.0
189,Q02888,1,5,1.0
190,Q02923,1,5,1.0
191,Q02957,1,5,1.0
192,Q02979,5,8,3.0
193,Q02980,4,10,2.0
194,Q02984,3,5,1.0
195,Q02987,2,1,1.0
196,Q02992,6,12,3.0
197,Q02995,2,3,3.0
198,Q02996,2,1,1.0
199,Q03000,2,1,1.0
200,Q03063,3,5,1.0
201,Q03085,1,5,1.0
202,Q03115,1,5,1.0
203,Q03154,10,19,6.0
204,Q03195,1,7,1.0
205,Q03204,1,3,1.0
206,Q03233,8,13,5.0
207,Q03234,2,1,1.0
208,Q03235,10,19,5.0
209,Q03236,3,3,1.0
210,Q03238,9,17,4.0
211,Q03247,1,5,1.0
212,Q03260,1,3,1.0
213,Q03274,1,5,1.0
214,Q03286,1,3,1.0
215,Q03305,4,10,2.0
216,Q03329,3,7,1.0
217,Q03362,4,8,2.0
218,Q03375,6,8,2.0
219,Q03381,4,8,2.0
220,Q03386,3,6,2.0
221,Q03413,2,1,2.0
222,Q03450,2,1,1.0
223,Q03492,8,18,4.0
224,Q03500,4,4,7.0
225,Q03506,3,1,1.0
226,Q03507,2,1,1.0
227,Q03583,1,2,1.0
228,Q03584,3,4,1.0
229,Q03600,2,9,2.0
230,Q03627,1,4,1.0
231,Q03631,4,4,4.0
232,Q03682,1,5,1.0
233,Q03693,1,5,1.0
234,Q03725,4,8,2.0
235,Q03727,3,5,1.0
236,Q03729,2,1,1.0
237,Q03730,1,5,1.0
238,Q03737,4,5,2.0
239,Q03739,2,1,1.0
240,Q03742,4,8,3.0
241,Q03743,11,11,8.0
242,Q03744,21,43,13.0
243,Q03745,2,1,2.0
244,Q03746,2,1,2.0
245,Q03750,4,5,2.0
246,Q03770,2,12,2.0
247,Q03783,1,4,1.0
248,Q03801,3,1,1.0
249,Q03817,4,11,3.0
250,Q03881,1,3,1.0
251,Q03889,1,7,1.0
252,Q03908,3,3,1.0
253,Q03926,1,3,1.0
254,Q03938,1,5,1.0
255,Q03967,3,12,3.0
256,Q03973,2,9,2.0
257,Q03983,5,5,2.0
258,Q03984,5,16,3.0
259,Q03985,3,4,1.0
260,Q03986,5,2,2.0
261,Q03993,20,40,22.0
262,Q03994,2,1,1.0
263,Q04000,4,8,3.0
264,Q04002,4,8,2.0
265,Q04003,2,1,1.0
266,Q04006,3,1,1.0
267,Q04015,1,5,1.0
268,Q04055,3,5,1.0
269,Q04075,1,4,1.0
270,Q04100,2,12,2.0
271,Q04137,3,5,1.0
272,Q04152,4,10,2.0
273,Q04229,2,1,1.0
274,Q04233,3,1,1.0
275,Q04237,7,11,4.0
276,Q04241,5,5,2.0
277,Q04256,1,5,1.0
278,Q04279,1,4,1.0
279,Q04308,1,3,1.0
280,Q04322,2,8,2.0
281,Q04387,1,5,1.0
282,Q04389,1,4,1.0
283,Q04442,1,4,1.0
284,Q04455,4,8,4.0
285,Q04463,2,9,4.0
286,Q04474,3,1,1.0
287,Q04477,3,5,1.0
288,Q04478,3,5,1.0
289,Q04479,4,8,2.0
290,Q04480,2,1,1.0
291,Q04483,5,5,2.0
292,Q04487,8,10,3.0
293,Q04488,7,8,4.0
294,Q04491,3,1,1.0
295,Q04492,9,14,4.0
296,Q04510,4,8,2.0
297,Q04536,3,8,1.0
298,Q04558,2,7,2.0
299,Q04587,14,28,8.0
300,Q04608,1,4,1.0
301,Q04632,1,4,1.0
302,Q04643,1,3,1.0
303,Q04675,1,5,1.0
304,Q04685,3,12,3.0
305,Q04696,4,8,2.0
306,Q04699,2,1,3.0
307,Q04711,1,5,1.0
308,Q04719,3,3,1.0
309,Q04724,2,1,1.0
310,Q04726,2,1,1.0
311,Q04728,8,18,4.0
312,Q04733,2,1,1.0
313,Q04737,3,5,1.0
314,Q04740,18,32,11.0
315,Q04821,2,5,1.0
316,Q04835,1,5,1.0
317,Q04841,3,2,1.0
318,Q04847,1,5,1.0
319,Q04871,1,4,1.0
320,Q04890,1,3,1.0
321,Q04898,1,5,1.0
322,Q04902,2,1,1.0
323,Q04934,1,5,1.0
324,Q04954,3,11,3.0
325,Q04957,3,1,1.0
326,Q04966,4,10,2.0
327,Q04974,1,5,1.0
328,Q04976,2,1,1.0
329,Q04984,1,7,1.0
330,Q04987,3,3,1.0
331,Q04992,7,8,4.0
332,Q04993,1,5,1.0
333,Q05023,4,8,2.0
334,Q05058,1,7,1.0
335,Q05075,1,2,1.0
336,Q05080,2,1,1.0
337,Q05085,16,45,38.0
338,Q05143,10,21,5.0
339,Q05211,7,11,4.0
340,Q05218,2,1,1.0
341,Q05230,18,36,11.0
342,Q05231,2,1,2.0
343,Q05233,2,1,1.0
344,Q05238,6,10,12.0
345,Q05294,3,8,1.0
346,Q05306,1,5,1.0
347,Q05319,1,4,1.0
348,Q05340,1,3,1.0
349,Q05352,1,5,1.0
350,Q05367,3,3,1.0
351,Q05375,3,1,1.0
352,Q05388,3,3,1.0
353,Q05401,4,16,5.0
354,Q05433,3,1,1.0
355,Q05446,3,5,1.0
356,Q05475,4,9,2.0
357,Q05476,1,5,1.0
358,Q05478,4,10,4.0
359,Q05482,2,1,5.0
360,Q05483,6,19,5.0
361,Q05484,12,24,6.0
362,Q05488,7,22,5.0
363,Q05494,8,10,3.0
364,Q05503,2,9,2.0
365,Q05515,6,6,4.0
366,Q05540,3,12,3.0
367,Q05544,2,1,1.0
368,Q05557,3,15,3.0
369,Q05559,3,4,1.0
370,Q05574,2,2,1.0
371,Q05591,3,1,1.0
372,Q05610,1,4,1.0
373,Q05613,3,1,2.0
374,Q05630,1,5,1.0
375,Q05631,4,10,2.0
376,Q05636,1,3,11.0
377,Q05656,3,5,1.0
378,Q05669,5,10,3.0
379,Q05694,10,27,12.0
380,Q05697,3,5,2.0
381,Q05714,3,5,2.0
382,Q05724,13,35,8.0
383,Q05732,2,1,1.0
384,Q05737,8,14,3.0
385,Q05738,3,7,2.0
386,Q05739,2,4,1.0
387,Q05744,8,13,4.0
388,Q05745,2,1,1.0
389,Q05746,5,5,2.0
390,Q05751,3,5,1.0
391,Q05774,6,9,2.0
392,Q05794,3,5,1.0
393,Q05846,3,5,1.0
394,Q05851,1,5,1.0
395,Q05853,1,5,1.0
396,Q05871,4,7,2.0
397,Q05889,4,4,3.0
398,Q05906,3,5,4.0
399,Q05927,10,19,5.0
400,Q05970,4,4,2.0
401,Q05985,3,5,1.0
402,Q05986,3,4,1.0
403,Q05989,6,15,3.0
404,Q05996,2,1,1.0
405,Q05998,2,1,1.0
406,Q06013,1,4,1.0
407,Q06032,1,4,1.0
408,Q06041,6,8,2.0
409,Q06055,1,7,2.0
410,Q06067,1,5,1.0
411,Q06078,1,5,1.0
412,Q06143,2,9,2.0
413,Q06148,1,3,1.0
414,Q06184,4,8,2.0
415,Q06192,1,3,1.0
416,Q06209,1,3,1.0
417,Q06221,1,4,1.0
418,Q06222,1,8,1.0
419,Q06227,11,14,5.0
420,Q06229,3,4,1.0
421,Q06230,6,9,3.0
422,Q06239,2,1,1.0
423,Q06241,2,12,2.0
424,Q06270,1,5,1.0
425,Q06277,1,7,1.0
426,Q06285,3,5,1.0
427,Q06308,4,8,2.0
428,Q06350,2,1,1.0
429,Q06398,6,10,4.0
430,Q06412,3,3,1.0
431,Q06431,1,4,1.0
432,Q06442,3,4,1.0
433,Q06450,23,38,23.0
434,Q06458,1,3,1.0
435,Q06462,4,10,3.0
436,Q06471,3,5,3.0
437,Q06475,3,3,1.0
438,Q06480,2,1,1.0
439,Q06486,4,8,2.0
440,Q06487,12,15,6.0
441,Q06489,3,1,1.0
442,Q06490,5,5,2.0
443,Q06491,2,8,2.0
444,Q06500,1,4,1.0
445,Q06548,1,5,1.0
446,Q06571,1,7,1.0
447,Q06576,4,8,2.0
448,Q06585,2,9,2.0
449,Q06615,3,4,1.0
450,Q06616,1,5,1.0
451,Q06625,2,1,2.0
452,Q06641,4,8,2.0
453,Q06642,1,4,1.0
454,Q06645,4,14,2.0
455,Q06662,5,10,3.0
456,Q06669,1,5,1.0
457,Q06674,5,2,11.0
458,Q06714,8,21,5.0
459,Q06720,9,12,3.0
460,Q06723,3,4,1.0
461,Q06728,3,5,3.0
462,Q06730,12,27,6.0
463,Q06735,4,14,3.0
464,Q06768,2,1,1.0
465,Q06784,3,15,3.0
466,Q06807,3,3,1.0
467,Q06854,3,3,1.0
468,Q06887,2,8,2.0
469,Q06902,5,16,6.0
470,Q06909,11,23,8.0
471,Q06963,2,1,1.0
472,Q06968,6,9,2.0
473,Q06969,2,1,1.0
474,Q06981,4,13,3.0
475,Q07013,1,3,1.0
476,Q07017,2,12,3.0
477,Q07047,3,15,5.0
478,Q07049,4,8,2.0
479,Q07074,1,5,1.0
480,Q07085,1,5,1.0
481,Q07100,4,8,2.0
482,Q07122,1,5,1.0
483,Q07146,1,5,1.0
484,Q07148,1,4,1.0
485,Q07180,24,49,36.0
486,Q07193,6,15,3.0
487,Q07207,6,18,4.0
488,Q07217,2,1,1.0
489,Q07223,2,3,1.0
490,Q07228,2,1,1.0
491,Q07231,3,6,3.0
492,Q07233,3,5,1.0
493,Q07236,6,12,3.0
494,Q07272,3,5,2.0
495,Q07287,8,5,4.0
496,Q07289,2,7,2.0
497,Q07297,1,2,1.0
498,Q07339,8,18,4.0
499,Q07349,1,4,1.0
500,Q07352,3,4,1.0
501,Q07355,1,3,1.0
502,Q07383,1,5,1.0
503,Q07390,3,3,1.0
504,Q07425,7,7,3.0
505,Q07429,4,17,7.0
506,Q07447,2,1,2.0
507,Q07451,7,17,4.0
508,Q07459,2,2,1.0
509,Q07464,7,11,3.0
510,Q07465,9,15,6.0
511,Q07467,1,5,1.0
512,Q07492,4,4,4.0
513,Q07495,1,4,1.0
514,Q07522,4,10,2.0
515,Q07544,4,8,2.0
516,Q07550,3,8,1.0
517,Q07552,1,5,1.0
518,Q07573,3,5,1.0
519,Q07608,1,5,1.0
520,Q07637,1,5,1.0
521,Q07675,2,1,1.0
522,Q07676,3,12,3.0
523,Q07685,14,20,7.0
524,Q07694,3,5,2.0
525,Q07710,2,8,2.0
526,Q07711,2,1,4.0
527,Q07713,3,1,1.0
528,Q07718,6,9,3.0
529,Q07728,2,1,1.0
530,Q07734,1,5,1.0
531,Q07742,19,41,15.0
532,Q07772,1,3,1.0
533,Q07774,1,3,1.0
534,Q07783,4,8,2.0
535,Q07789,1,3,1.0
536,Q07792,1,5,1.0
537,Q07813,7,11,20.0
538,Q07821,1,4,1.0
539,Q07831,3,17,3.0
540,Q07844,3,1,11.0
541,Q07855,1,5,1.0
542,Q07900,2,1,1.0
543,Q07922,20,40,17.0
544,Q07952,1,4,1.0
545,Q07954,23,38,11.0
546,Q07958,2,1,1.0
547,Q07960,2,1,1.0
548,Q07961,3,5,1.0
549,Q08002,2,11,2.0
550,Q08016,1,4,1.0
551,Q08042,9,18,8.0
552,Q08053,3,5,1.0
553,Q08073,1,1,11.0
554,Q08080,1,3,1.0
555,Q08096,1,6,1.0
556,Q08098,1,5,1.0
557,Q08103,3,3,1.0
558,Q08119,3,3,1.0
559,Q08147,1,5,1.0
560,Q08169,1,1,11.0
561,Q08173,2,10,2.0
562,Q08180,2,1,1.0
563,Q08193,3,5,1.0
564,Q08200,2,1,3.0
565,Q08204,3,4,1.0
566,Q08209,2,1,1.0
567,Q08210,8,10,4.0
568,Q08212,1,5,1.0
569,Q08227,1,4,1.0
570,Q08245,1,5,1.0
571,Q08265,3,5,1.0
572,Q08299,2,1,1.0
573,Q08300,4,8,2.0
574,Q08308,3,4,1.0
575,Q08331,1,5,1.0
576,Q08367,1,5,1.0
577,Q08370,1,5,1.0
578,Q08379,5,13,5.0
579,Q08387,1,5,1.0
580,Q08412,3,17,11.0
581,Q08428,3,5,2.0
582,Q08430,3,6,2.0
583,Q08437,10,25,7.0
584,Q08438,7,17,4.0
585,Q08439,2,1,1.0
586,Q08445,3,1,1.0
587,Q08449,1,3,1.0
588,Q08459,2,9,2.0
589,Q08464,1,4,1.0
590,Q08485,1,5,1.0
591,Q08489,1,5,1.0
592,Q08504,1,5,1.0
593,Q08540,1,5,1.0
594,Q08545,1,8,1.0
595,Q08550,1,4,1.0
596,Q08577,8,14,15.0
597,Q08595,2,1,1.0
598,Q08610,3,3,11.0
599,Q08626,3,4,1.0
600,Q08653,4,10,2.0
601,Q08661,14,23,9.0
602,Q08667,2,9,3.0
603,Q08684,2,1,2.0
604,Q08686,2,5,1.0
605,Q08690,6,8,2.0
606,Q08692,2,1,1.0
607,Q08694,2,1,4.0
608,Q08696,5,2,2.0
609,Q08698,2,1,4.0
610,Q08700,7,11,3.0
611,Q08717,4,8,2.0
612,Q08718,3,5,2.0
613,Q08734,3,8,2.0
614,Q08735,1,5,1.0
615,Q08754,1,5,1.0
616,Q08757,1,5,1.0
617,Q08777,1,8,1.0
618,Q08794,3,4,1.0
619,Q08800,3,15,3.0
620,Q08850,4,9,5.0
621,Q08856,1,7,3.0
622,Q08883,2,1,1.0
623,Q08886,2,9,2.0
624,Q08895,2,5,1.0
625,Q08929,8,8,3.0
626,Q08934,2,1,1.0
627,Q08939,2,3,2.0
628,Q08975,3,12,3.0
629,Q08985,2,1,1.0
630,Q08996,1,5,1.0
631,Q08997,1,4,1.0
632,Q08998,3,4,1.0
633,Q09032,1,3,1.0
634,Q09033,1,5,1.0
635,Q09046,1,3,1.0
636,Q09068,1,5,1.0
637,Q09093,1,3,1.0
638,Q09102,1,5,1.0
639,Q09134,1,3,1.0
640,Q09156,4,4,9.0
641,Q09161,6,18,4.0
642,Q09177,2,1,2.0
643,Q09178,7,17,4.0
644,Q09179,2,3,5.0
645,Q09185,4,5,2.0
646,Q09186,2,3,1.0
647,Q09191,3,6,2.0
648,Q09192,11,13,5.0
649,Q09197,4,5,3.0
650,Q09202,4,10,2.0
651,Q09246,5,21,5.0
652,Q09322,2,9,2.0
653,Q09326,1,5,1.0
654,Q09333,2,9,2.0
655,Q09336,1,5,1.0
656,Q09341,3,3,1.0
657,Q09342,1,4,1.0
658,Q09343,1,3,1.0
659,Q09358,1,5,1.0
660,Q09360,1,5,1.0
661,Q09370,2,4,1.0
662,Q09380,1,4,1.0
663,Q09386,1,3,1.0
664,Q09412,4,10,3.0
665,Q09416,1,3,1.0
666,Q09417,3,5,2.0
667,Q09423,6,15,3.0
668,Q09426,1,7,1.0
669,Q09429,9,17,4.0
670,Q09450,2,9,2.0
671,Q09455,1,5,1.0
672,Q09471,1,3,1.0
673,Q09475,3,15,3.0
674,Q09498,4,13,4.0
675,Q09586,1,5,1.0
676,Q09603,5,9,3.0
677,Q09606,12,12,8.0
678,Q09611,3,1,1.0
679,Q09625,1,3,1.0
680,Q09637,2,7,4.0
681,Q09645,3,4,1.0
682,Q09664,2,1,3.0
683,Q09665,1,4,1.0
684,Q09678,2,1,2.0
685,Q09679,5,2,3.0
686,Q09681,4,8,2.0
687,Q09685,3,1,1.0
688,Q09690,3,1,1.0
689,Q09693,2,1,1.0
690,Q09735,3,5,1.0
691,Q09753,1,3,1.0
692,Q09769,1,5,1.0
693,Q09773,4,8,2.0
694,Q09778,1,4,1.0
695,Q09784,5,13,3.0
696,Q09809,2,1,1.0
697,Q09815,1,4,1.0
698,Q09833,1,4,1.0
699,Q09834,1,3,1.0
700,Q09860,3,0,1.0
701,Q09865,1,5,1.0
702,Q09875,2,9,2.0
703,Q09887,1,5,1.0
704,Q09897,5,11,4.0
705,Q09910,1,4,1.0
706,Q09918,2,9,2.0
707,Q09928,9,15,4.0
708,Q09935,6,15,3.0
709,Q09942,3,1,1.0
710,Q09969,3,5,1.0
711,Q09984,3,3,1.0
712,Q10005,3,5,1.0
713,Q10061,4,11,2.0
714,Q10087,6,12,3.0
715,Q10125,2,12,4.0
716,Q10129,6,9,2.0
717,Q10130,7,15,4.0
718,Q10132,4,5,3.0
719,Q10161,13,20,7.0
720,Q10162,2,1,1.0
721,Q10163,2,8,3.0
722,Q10170,4,4,2.0
723,Q10171,7,11,4.0
724,Q10257,1,4,1.0
725,Q10268,1,5,1.0
726,Q10304,3,5,1.0
727,Q10322,2,1,1.0
728,Q10346,1,8,1.0
729,Q10373,2,9,2.0
730,Q10385,12,19,10.0
731,Q10392,8,16,4.0
732,Q10396,3,5,1.0
733,Q10401,6,10,3.0
734,Q10402,3,1,2.0
735,Q10403,5,8,3.0
736,Q10405,3,10,2.0
737,Q10413,1,4,1.0
738,Q10469,1,5,1.0
739,Q10506,1,4,1.0
740,Q10508,4,5,2.0
741,Q10515,1,5,1.0
742,Q10536,2,7,2.0
743,Q10542,1,5,1.0
744,Q10551,4,8,2.0
745,Q10556,1,3,1.0
746,Q10560,4,10,2.0
747,Q10620,4,11,5.0
748,Q10626,2,1,1.0
749,Q10636,2,9,2.0
750,Q10652,3,1,1.0
751,Q10655,9,9,5.0
752,Q10656,6,9,3.0
753,Q10660,9,11,4.0
754,Q10662,2,1,1.0
755,Q10664,5,2,2.0
756,Q10673,1,3,1.0
757,Q10697,6,21,4.0
758,Q10712,1,4,1.0
759,Q10738,1,5,1.0
760,Q10739,1,5,1.0
761,Q10740,2,12,2.0
762,Q10751,2,4,1.0
763,Q10777,3,3,1.0
764,Q10791,3,0,1.0
765,Q10840,1,4,1.0
766,Q10857,1,3,1.0
767,Q10867,6,18,4.0
768,Q10892,3,4,1.0
769,Q10896,2,1,2.0
770,Q10903,2,1,3.0
771,Q10910,4,16,2.0
772,Q10935,1,6,1.0
773,Q10954,3,12,3.0
774,Q10973,2,9,2.0
775,Q10992,1,5,1.0
776,Q11002,1,3,1.0
777,Q11018,1,3,1.0
778,Q11024,1,5,1.0
779,Q11034,1,3,1.0
780,Q11044,3,8,2.0
781,Q11054,3,8,2.0
782,Q11102,1,4,1.0
783,Q11123,11,14,7.0
784,Q11124,4,17,5.0
785,Q11135,4,16,4.0
786,Q11136,1,4,1.0
787,Q11145,6,9,3.0
788,Q11149,2,1,1.0
789,Q11153,2,1,2.0
790,Q11157,3,5,2.0
791,Q11158,9,14,4.0
792,Q11159,12,36,7.0
793,Q11172,2,9,2.0
794,Q11194,4,6,2.0
795,Q11254,3,4,1.0
796,Q11262,2,7,2.0
797,Q11304,1,4,1.0
798,Q11315,1,5,1.0
799,Q11323,3,8,1.0
800,Q11331,3,1,1.0
801,Q11364,5,4,2.0
802,Q11372,5,2,2.0
803,Q11378,6,11,3.0
804,Q11383,2,3,1.0
805,Q11384,2,1,1.0
806,Q11385,2,1,1.0
807,Q11387,2,1,2.0
808,Q11391,6,15,3.0
809,Q11392,2,1,1.0
810,Q11393,3,5,1.0
811,Q11415,3,15,4.0
812,Q11424,2,7,2.0
813,Q11441,1,3,1.0
814,Q11493,1,5,1.0
815,Q11520,5,13,3.0
816,Q11554,1,7,1.0
817,Q11621,1,5,1.0
818,Q11629,3,13,7.0
819,Q11641,3,1,1.0
820,Q11644,8,18,4.0
821,Q11650,4,10,3.0
822,Q11651,3,1,1.0
823,Q11653,2,1,1.0
824,Q11654,15,28,7.0
825,Q11655,2,1,1.0
826,Q11657,6,6,3.0
827,Q11686,1,5,1.0
828,Q11724,13,28,7.0
829,Q11740,1,8,1.0
830,Q11767,6,9,3.0
831,Q11838,4,10,2.0
832,Q11867,4,5,3.0
833,Q11889,2,9,2.0
834,Q11890,3,6,3.0
835,Q11895,7,11,4.0
836,Q11930,1,4,1.0
837,Q11933,6,7,3.0
838,Q11957,2,12,2.0
839,Q11972,3,1,2.0
840,Q12012,3,1,1.0
841,Q12042,1,3,1.0
842,Q12071,1,4,1.0
843,Q12121,12,22,7.0
844,Q12122,2,1,1.0
845,Q12130,5,6,2.0
846,Q12133,2,1,1.0
847,Q12135,3,5,1.0
848,Q12153,2,12,2.0
849,Q12156,4,8,2.0
850,Q12167,2,1,2.0
851,Q12171,1,5,1.0
852,Q12187,1,3,1.0
853,Q12222,2,1,1.0
854,Q12238,3,5,1.0
855,Q12271,4,8,2.0
856,Q12296,2,9,2.0
857,Q12322,4,9,2.0
858,Q12340,4,9,2.0
859,Q12381,1,4,1.0
860,Q12387,5,2,2.0
861,Q12389,4,8,2.0
862,Q12391,2,1,2.0
863,Q12393,8,6,3.0
864,Q12394,6,18,4.0
865,Q12395,15,18,7.0
866,Q12397,2,1,2.0
867,Q12417,1,4,1.0
868,Q12450,3,12,3.0
869,Q12490,1,5,1.0
870,Q12534,4,6,2.0
871,Q12538,1,3,2.0
872,Q12560,1,5,1.0
873,Q12566,1,5,1.0
874,Q12579,5,12,3.0
875,Q12596,2,9,2.0
876,Q12603,19,34,14.0
877,Q12607,1,5,1.0
878,Q12621,1,8,1.0
879,Q12622,2,1,1.0
880,Q12625,5,5,2.0
881,Q12626,3,4,1.0
882,Q12632,3,10,2.0
883,Q12637,6,9,3.0
884,Q12639,1,5,1.0
885,Q12678,4,8,2.0
886,Q12680,7,8,4.0
887,Q12687,3,3,3.0
888,Q12708,1,8,1.0
889,Q12721,1,5,1.0
890,Q12739,1,3,1.0
891,Q12742,4,10,2.0
892,Q12749,1,4,1.0
893,Q12757,1,3,1.0
894,Q12812,2,9,2.0
895,Q12819,1,2,1.0
896,Q12865,2,1,1.0
897,Q12868,4,11,3.0
898,Q12870,6,9,3.0
899,Q12873,9,20,5.0
900,Q12899,1,5,1.0
901,Q12902,4,10,2.0
902,Q12906,4,8,2.0
903,Q19943,1,5,1.0
904,Q25095,1,5,1.0
905,Q51220,3,3,1.0
906,Q53592,1,4,1.0
907,Q62842,1,3,1.0
908,Q62857,2,1,1.0
909,Q62861,3,4,1.0
910,Q62862,31,70,68.0
911,Q62866,5,5,2.0
912,Q62981,4,3,2.0
913,Q63000,1,4,1.0
914,Q63013,1,5,1.0
915,Q63018,1,4,1.0
916,Q63023,1,5,1.0
917,Q63083,5,16,4.0
918,Q63088,12,27,6.0
919,Q63106,3,10,2.0
920,Q63107,3,5,1.0
921,Q63109,5,9,4.0
922,Q63111,3,3,1.0
923,Q63114,4,6,2.0
924,Q63119,3,3,8.0
925,Q63140,3,1,1.0
926,Q63159,1,4,1.0
927,Q63205,1,8,1.0
928,Q63212,1,3,2.0
