,小微企业ID,注册资金(万元),企业(机构)类型,行业门类代码,从业人数,投资总额(万元)
73,Q00277,0.0,2,4,8.0,0.0
74,Q00285,0.0,0,0,2.0,0.0
75,Q00288,0.0,0,7,10.0,0.0
76,Q00291,0.0,0,9,16.0,0.0
77,Q00292,0.0,0,4,7.0,0.0
78,Q00295,0.0,2,4,6.0,0.0
79,Q00301,0.0,2,0,13.0,0.0
80,Q00302,0.0,2,5,4.0,0.0
81,Q00304,0.0,1,4,3.0,0.0
82,Q00306,0.0,0,0,15.0,0.0
83,Q00307,0.0,0,4,12.0,0.0
84,Q00319,0.0,2,0,6.0,0.0
85,Q00320,0.0,0,4,11.0,0.0
86,Q00329,0.0,2,0,7.0,0.0
87,Q00330,0.0,1,6,4.0,0.0
88,Q00337,1.0,0,2,10.0,0.0
89,Q00339,0.0,0,0,7.0,0.0
90,Q00341,0.0,0,6,9.0,0.0
91,Q00346,0.0,0,0,8.0,0.0
92,Q00348,0.0,0,4,5.0,0.0
93,Q00349,0.0,0,4,10.0,0.0
94,Q00353,0.0,1,4,4.0,0.0
95,Q00356,0.0,0,6,5.0,0.0
96,Q00358,0.0,0,0,10.0,0.0
97,Q00359,0.0,9,0,0.0,0.0
98,Q00361,0.0,0,4,4.0,0.0
99,Q00363,0.0,0,6,12.0,0.0
100,Q00365,1.0,2,2,5.0,0.0
101,Q00366,0.0,2,7,4.0,0.0
102,Q00367,0.0,0,0,10.0,0.0
103,Q00369,0.0,1,10,4.0,0.0
104,Q00371,3.0,1,6,8.0,0.0
105,Q00372,0.0,0,0,7.0,0.0
106,Q00385,0.0,1,0,0.0,0.0
107,Q00387,0.0,0,4,12.0,0.0
108,Q00389,0.0,2,4,1.0,0.0
109,Q00390,0.0,0,0,0.0,0.0
110,Q00391,0.0,0,4,5.0,0.0
111,Q00394,1.0,0,0,12.0,0.0
112,Q00395,0.0,2,6,3.0,0.0
113,Q00398,0.0,1,6,8.0,0.0
114,Q00402,0.0,0,0,20.0,0.0
115,Q00403,0.0,0,2,12.0,0.0
116,Q00406,1.0,0,4,0.0,0.0
117,Q00407,1.0,0,7,2.0,0.0
118,Q00412,0.0,2,4,1.0,0.0
119,Q00415,0.0,2,4,5.0,0.0
120,Q00416,0.0,0,0,12.0,0.0
121,Q00421,1.0,0,0,27.0,0.0
122,Q00422,0.0,0,11,0.0,0.0
123,Q00425,0.0,0,4,7.0,0.0
124,Q00426,0.0,2,0,10.0,0.0
125,Q00433,0.0,0,0,20.0,0.0
126,Q00435,0.0,1,3,10.0,0.0
127,Q00436,0.0,0,0,15.0,0.0
128,Q00446,1.0,1,12,50.0,0.0
129,Q00450,1.0,0,0,2.0,0.0
130,Q00452,0.0,0,0,2.0,0.0
131,Q00464,0.0,0,0,0.0,0.0
132,Q00468,2.0,0,0,2.0,0.0
133,Q00473,0.0,0,0,12.0,0.0
134,Q00478,0.0,0,0,28.0,0.0
135,Q00484,0.0,0,0,22.0,0.0
136,Q00487,0.0,0,4,14.0,0.0
137,Q00488,0.0,0,7,12.0,0.0
138,Q00489,0.0,0,3,5.0,0.0
139,Q00490,0.0,0,4,0.0,0.0
140,Q00493,0.0,0,0,21.0,0.0
141,Q00494,0.0,0,2,15.0,0.0
142,Q00497,0.0,2,4,2.0,0.0
143,Q00498,0.0,0,0,202.0,0.0
144,Q00501,0.0,0,9,4.0,0.0
145,Q00503,0.0,0,0,11.0,0.0
146,Q00504,3.0,0,0,2.0,5.0
147,Q00505,1.0,1,4,84.0,0.0
148,Q00507,5.0,0,0,8.0,0.0
149,Q00511,0.0,0,0,15.0,0.0
150,Q00514,0.0,0,6,19.0,0.0
151,Q00519,1.0,1,0,33.0,0.0
152,Q00521,0.0,0,3,3.0,0.0
153,Q00526,1.0,0,3,4.0,0.0
154,Q00527,0.0,0,0,53.0,0.0
155,Q00528,0.0,0,0,11.0,0.0
156,Q00529,0.0,1,0,10.0,0.0
157,Q00530,0.0,1,6,10.0,0.0
158,Q00531,0.0,0,4,6.0,0.0
159,Q00534,0.0,2,4,2.0,0.0
160,Q00535,0.0,0,4,4.0,0.0
161,Q00538,0.0,0,7,5.0,0.0
162,Q00545,0.0,2,0,1.0,0.0
163,Q00548,0.0,0,0,23.0,0.0
164,Q00549,1.0,0,3,5.0,0.0
165,Q00554,0.0,2,4,9.0,0.0
166,Q00558,0.0,1,4,11.0,0.0
167,Q00563,0.0,0,6,2.0,0.0
168,Q00568,0.0,0,0,8.0,0.0
169,Q00571,0.0,1,0,10.0,0.0
170,Q00573,0.0,1,0,7.0,0.0
171,Q00576,0.0,0,7,7.0,0.0
172,Q00577,3.0,0,4,0.0,0.0
173,Q00578,0.0,1,13,8.0,0.0
174,Q00583,2.0,0,0,29.0,0.0
175,Q00588,0.0,6,0,0.0,0.0
176,Q00590,0.0,0,0,7.0,0.0
177,Q00595,0.0,2,7,14.0,0.0
178,Q00596,0.0,0,0,9.0,0.0
179,Q00598,0.0,0,0,7.0,0.0
180,Q00602,0.0,0,0,20.0,0.0
181,Q00604,4.0,0,6,5.0,0.0
182,Q00606,0.0,2,4,1.0,0.0
183,Q00611,1.0,0,0,10.0,0.0
184,Q00616,0.0,0,0,17.0,0.0
185,Q00620,0.0,0,0,28.0,0.0
186,Q00621,0.0,2,4,1.0,0.0
187,Q00628,0.0,0,4,4.0,0.0
188,Q00633,0.0,2,0,7.0,0.0
189,Q00634,0.0,0,0,0.0,0.0
190,Q00636,0.0,2,0,9.0,0.0
191,Q00638,0.0,1,4,1.0,0.0
192,Q00642,0.0,0,1,7.0,0.0
193,Q00643,0.0,1,6,3.0,0.0
194,Q00646,1.0,1,0,10.0,0.0
195,Q00654,1.0,0,0,4.0,0.0
196,Q00655,0.0,0,0,0.0,0.0
197,Q00661,0.0,0,0,17.0,0.0
198,Q00662,0.0,1,0,7.0,0.0
199,Q00663,0.0,1,0,30.0,0.0
200,Q00664,1.0,0,0,8.0,0.0
201,Q00666,0.0,1,0,8.0,0.0
202,Q00667,0.0,1,0,7.0,0.0
203,Q00668,0.0,0,0,15.0,0.0
204,Q00672,0.0,2,1,1.0,0.0
205,Q00679,0.0,2,4,3.0,0.0
206,Q00689,2.0,0,1,8.0,0.0
207,Q00691,0.0,11,3,0.0,0.0
208,Q00692,0.0,0,0,12.0,0.0
209,Q00693,1.0,1,5,4.0,0.0
210,Q00694,1.0,2,4,4.0,0.0
211,Q00695,0.0,2,0,6.0,0.0
212,Q00696,2.0,0,4,6.0,0.0
213,Q00700,1.0,9,0,29.0,0.0
214,Q00705,1.0,0,0,28.0,0.0
215,Q00707,1.0,0,0,80.0,0.0
216,Q00715,0.0,0,0,31.0,0.0
217,Q00716,4.0,0,6,0.0,0.0
218,Q00718,0.0,3,0,0.0,0.0
219,Q00719,0.0,1,0,12.0,0.0
220,Q00720,1.0,0,0,12.0,0.0
221,Q00722,0.0,1,4,6.0,0.0
222,Q00723,0.0,1,0,9.0,0.0
223,Q00727,0.0,2,7,4.0,0.0
224,Q00729,2.0,0,0,66.0,0.0
225,Q00732,1.0,9,0,0.0,1.0
226,Q00738,1.0,0,11,10.0,0.0
227,Q00750,0.0,0,4,3.0,0.0
228,Q00756,2.0,0,0,722.0,0.0
229,Q00758,0.0,0,0,25.0,0.0
230,Q00761,0.0,0,0,4.0,0.0
231,Q00762,0.0,2,0,4.0,0.0
232,Q00764,0.0,0,0,7.0,0.0
233,Q00767,0.0,1,7,8.0,0.0
234,Q00768,0.0,0,0,8.0,0.0
235,Q00770,1.0,1,0,10.0,0.0
236,Q00778,0.0,2,0,4.0,0.0
237,Q00779,1.0,0,4,3.0,0.0
238,Q00782,0.0,2,0,1.0,0.0
239,Q00786,0.0,1,4,24.0,0.0
240,Q00787,0.0,0,0,25.0,0.0
241,Q00788,1.0,2,3,2.0,0.0
242,Q00789,0.0,0,6,7.0,0.0
243,Q00790,1.0,2,4,3.0,0.0
244,Q00795,0.0,2,0,22.0,0.0
245,Q00797,0.0,2,4,5.0,0.0
246,Q00800,0.0,2,4,3.0,0.0
247,Q00802,0.0,1,9,10.0,0.0
248,Q00809,0.0,0,1,24.0,0.0
249,Q00810,1.0,8,0,0.0,1.0
250,Q00815,0.0,0,4,3.0,0.0
251,Q00823,0.0,0,0,0.0,0.0
252,Q00824,0.0,0,0,5.0,0.0
253,Q00825,5.0,0,1,17.0,0.0
254,Q00827,0.0,0,2,6.0,0.0
255,Q00833,1.0,8,0,0.0,1.0
256,Q00836,0.0,2,0,1.0,0.0
257,Q00846,0.0,1,0,4.0,0.0
258,Q00847,2.0,12,6,0.0,0.0
259,Q00852,0.0,0,4,4.0,0.0
260,Q00859,0.0,2,6,25.0,0.0
261,Q00864,0.0,2,1,1.0,0.0
262,Q00865,0.0,0,6,6.0,0.0
263,Q00868,0.0,0,9,2.0,0.0
264,Q00871,0.0,0,7,4.0,0.0
265,Q00873,2.0,0,0,0.0,0.0
266,Q00877,0.0,0,7,10.0,0.0
267,Q00881,2.0,0,5,0.0,0.0
268,Q00886,1.0,0,0,6.0,0.0
269,Q00887,0.0,2,4,1.0,0.0
270,Q00888,0.0,0,7,9.0,0.0
271,Q00889,0.0,1,9,22.0,0.0
272,Q00894,1.0,0,1,8.0,0.0
273,Q00898,0.0,1,4,2.0,0.0
274,Q00900,0.0,0,1,2.0,0.0
275,Q00910,0.0,0,6,6.0,0.0
276,Q00911,0.0,1,4,12.0,0.0
277,Q00918,1.0,0,0,16.0,1.0
278,Q00923,0.0,0,0,8.0,0.0
279,Q00925,0.0,0,0,24.0,0.0
280,Q00926,0.0,0,4,3.0,0.0
281,Q00932,0.0,0,1,6.0,0.0
282,Q00935,0.0,2,0,2.0,0.0
283,Q00945,0.0,0,6,3.0,0.0
284,Q00947,0.0,0,6,2.0,0.0
285,Q00948,0.0,0,0,10.0,0.0
286,Q00955,0.0,7,0,0.0,0.0
287,Q00973,1.0,0,9,0.0,0.0
288,Q00974,1.0,0,0,8.0,0.0
289,Q00975,0.0,0,0,5.0,0.0
290,Q00976,0.0,0,0,4.0,0.0
291,Q00977,0.0,0,0,74.0,0.0
292,Q00985,0.0,0,4,3.0,0.0
293,Q00988,0.0,0,6,8.0,0.0
294,Q00993,0.0,1,7,5.0,0.0
295,Q00998,0.0,0,9,10.0,0.0
296,Q01000,1.0,0,0,11.0,0.0
297,Q01002,4.0,0,1,28.0,0.0
298,Q01007,1.0,7,0,55.0,1.0
299,Q01008,1.0,0,0,10.0,0.0
300,Q01011,0.0,0,0,7.0,0.0
301,Q01012,3.0,1,0,5.0,0.0
302,Q01015,0.0,0,0,8.0,0.0
303,Q01016,0.0,1,4,20.0,0.0
304,Q01018,0.0,2,0,4.0,0.0
305,Q01020,0.0,1,0,2.0,0.0
306,Q01021,0.0,2,3,6.0,0.0
307,Q01023,1.0,0,1,6.0,0.0
308,Q01026,0.0,2,4,4.0,0.0
309,Q01032,0.0,2,0,1.0,0.0
310,Q01038,3.0,0,0,0.0,0.0
311,Q01042,0.0,2,0,1.0,0.0
312,Q01047,0.0,0,4,3.0,0.0
313,Q01050,2.0,1,0,4.0,0.0
314,Q01059,0.0,0,4,0.0,0.0
315,Q01063,1.0,0,0,7.0,0.0
316,Q01065,0.0,2,4,6.0,0.0
317,Q01068,1.0,0,0,7.0,0.0
318,Q01070,0.0,0,4,3.0,0.0
319,Q01074,0.0,1,4,4.0,0.0
320,Q01077,0.0,2,6,5.0,0.0
321,Q01082,0.0,0,0,7.0,0.0
322,Q01083,0.0,1,0,7.0,0.0
323,Q01084,5.0,9,0,0.0,9.0
324,Q01085,0.0,1,4,4.0,0.0
325,Q01086,0.0,0,4,5.0,0.0
326,Q01094,0.0,13,1,0.0,0.0
327,Q01095,1.0,0,4,10.0,0.0
328,Q01100,1.0,0,3,4.0,0.0
329,Q01102,1.0,0,0,14.0,0.0
330,Q01103,0.0,0,4,3.0,0.0
331,Q01105,0.0,0,0,22.0,0.0
332,Q01106,0.0,11,0,0.0,0.0
333,Q01111,0.0,1,0,4.0,0.0
334,Q01116,0.0,0,6,8.0,0.0
335,Q01117,1.0,0,0,12.0,0.0
336,Q01120,0.0,1,6,17.0,0.0
337,Q01121,0.0,1,0,19.0,0.0
338,Q01126,0.0,0,1,11.0,0.0
339,Q01129,0.0,2,0,4.0,0.0
340,Q01131,1.0,2,3,7.0,0.0
341,Q01133,0.0,2,9,0.0,0.0
342,Q01135,8.0,10,1,0.0,9.0
343,Q01136,0.0,0,2,44.0,0.0
344,Q01141,0.0,0,4,24.0,0.0
345,Q01142,0.0,0,0,0.0,0.0
346,Q01145,1.0,0,4,10.0,0.0
347,Q01149,0.0,0,0,10.0,0.0
348,Q01152,0.0,0,4,8.0,0.0
349,Q01155,1.0,0,0,21.0,0.0
350,Q01156,0.0,1,0,6.0,0.0
351,Q01162,0.0,0,0,20.0,0.0
352,Q01169,1.0,2,4,6.0,0.0
353,Q01173,1.0,0,0,64.0,0.0
354,Q01178,1.0,0,0,10.0,0.0
355,Q01179,0.0,0,0,13.0,0.0
356,Q01185,0.0,10,0,0.0,0.0
357,Q01188,0.0,0,0,23.0,0.0
358,Q01192,0.0,1,6,8.0,0.0
359,Q01194,1.0,0,4,4.0,0.0
360,Q01197,2.0,0,0,0.0,0.0
361,Q01199,0.0,0,5,10.0,0.0
362,Q01200,0.0,0,2,25.0,0.0
363,Q01201,1.0,0,1,0.0,0.0
364,Q01208,2.0,0,4,10.0,0.0
365,Q01209,1.0,0,0,11.0,0.0
366,Q01210,0.0,0,4,3.0,0.0
367,Q01212,1.0,0,4,4.0,0.0
368,Q01213,0.0,0,0,13.0,0.0
369,Q01215,1.0,1,4,7.0,0.0
370,Q01224,0.0,1,4,5.0,0.0
371,Q01231,0.0,0,0,29.0,0.0
372,Q01238,4.0,14,0,0.0,0.0
373,Q01239,0.0,8,7,0.0,0.0
374,Q01240,0.0,0,0,7.0,0.0
375,Q01242,2.0,1,0,4.0,0.0
376,Q01246,0.0,0,0,2.0,0.0
377,Q01253,1.0,0,6,0.0,0.0
378,Q01258,0.0,1,4,6.0,0.0
379,Q01259,0.0,1,4,5.0,0.0
380,Q01260,0.0,0,0,5.0,0.0
381,Q01264,2.0,0,8,13.0,0.0
382,Q01265,0.0,1,4,6.0,0.0
383,Q01268,0.0,1,4,9.0,0.0
384,Q01270,0.0,2,7,4.0,0.0
385,Q01274,1.0,0,2,10.0,0.0
386,Q01280,0.0,0,7,11.0,0.0
387,Q01287,0.0,2,4,2.0,0.0
388,Q01288,0.0,2,1,3.0,0.0
389,Q01300,0.0,0,14,4.0,0.0
390,Q01305,0.0,0,0,35.0,0.0
391,Q01307,0.0,1,0,100.0,0.0
392,Q01308,0.0,0,0,12.0,0.0
393,Q01311,0.0,2,4,9.0,0.0
394,Q01314,1.0,0,3,24.0,0.0
395,Q01316,0.0,0,0,8.0,0.0
396,Q01317,0.0,0,0,10.0,0.0
397,Q01321,1.0,0,7,7.0,0.0
398,Q01326,1.0,0,0,0.0,0.0
399,Q01328,0.0,1,1,7.0,0.0
400,Q01341,1.0,2,2,3.0,0.0
401,Q01342,0.0,0,0,8.0,0.0
402,Q01343,1.0,0,0,4.0,0.0
403,Q01356,3.0,2,0,241.0,0.0
404,Q01359,0.0,0,0,0.0,0.0
405,Q01361,0.0,0,3,8.0,0.0
406,Q01365,0.0,0,0,5.0,0.0
407,Q01366,2.0,0,1,0.0,0.0
408,Q01368,0.0,0,0,18.0,0.0
409,Q01369,1.0,0,0,8.0,0.0
410,Q01370,0.0,2,4,4.0,0.0
411,Q01375,0.0,0,0,8.0,0.0
412,Q01377,1.0,0,0,9.0,0.0
413,Q01380,1.0,1,0,8.0,0.0
414,Q01382,0.0,1,4,6.0,0.0
415,Q01383,0.0,0,6,3.0,0.0
416,Q01392,4.0,9,2,0.0,7.0
417,Q01395,0.0,2,11,1.0,0.0
418,Q01400,0.0,0,0,10.0,0.0
419,Q01402,0.0,2,4,2.0,0.0
420,Q01404,0.0,0,0,15.0,0.0
421,Q01405,0.0,1,9,3.0,0.0
422,Q01408,1.0,2,4,11.0,0.0
423,Q01410,1.0,0,0,30.0,0.0
424,Q01421,0.0,2,7,9.0,0.0
425,Q01422,0.0,0,0,2.0,0.0
426,Q01448,0.0,0,0,17.0,0.0
427,Q01450,0.0,2,0,10.0,0.0
428,Q01455,0.0,1,0,11.0,0.0
429,Q01461,0.0,2,4,3.0,0.0
430,Q01462,0.0,0,4,5.0,0.0
431,Q01463,0.0,0,3,7.0,0.0
432,Q01467,0.0,2,6,2.0,0.0
433,Q01469,3.0,0,0,3.0,0.0
434,Q01470,1.0,0,0,55.0,0.0
435,Q01473,0.0,0,0,0.0,0.0
436,Q01482,0.0,0,0,20.0,0.0
437,Q01486,0.0,2,4,9.0,0.0
438,Q01493,0.0,0,4,10.0,0.0
439,Q01505,1.0,0,0,8.0,0.0
440,Q01506,0.0,0,2,12.0,0.0
441,Q01507,1.0,0,1,7.0,0.0
442,Q01510,0.0,1,0,58.0,0.0
443,Q01518,1.0,0,0,27.0,0.0
444,Q01523,0.0,1,0,22.0,0.0
445,Q01526,0.0,11,3,0.0,0.0
446,Q01528,0.0,2,6,5.0,0.0
447,Q01529,0.0,0,0,3.0,0.0
448,Q01536,0.0,0,0,9.0,0.0
449,Q01538,0.0,0,7,5.0,0.0
450,Q01546,0.0,2,4,2.0,0.0
451,Q01548,0.0,0,4,4.0,0.0
452,Q01552,0.0,8,0,0.0,0.0
453,Q01562,0.0,2,4,3.0,0.0
454,Q01572,0.0,0,0,15.0,0.0
455,Q01574,0.0,1,0,8.0,0.0
456,Q01578,3.0,0,1,0.0,0.0
457,Q01579,0.0,0,0,11.0,0.0
458,Q01580,0.0,0,4,5.0,0.0
459,Q01582,0.0,0,4,3.0,0.0
460,Q01583,1.0,0,0,23.0,0.0
461,Q01586,0.0,2,7,6.0,0.0
462,Q01588,0.0,0,6,8.0,0.0
463,Q01590,0.0,0,4,4.0,0.0
464,Q01592,0.0,2,11,2.0,0.0
465,Q01596,0.0,0,4,10.0,0.0
466,Q01598,0.0,0,0,7.0,0.0
467,Q01602,0.0,0,0,7.0,0.0
468,Q01610,0.0,0,0,5.0,0.0
469,Q01615,0.0,1,6,4.0,0.0
470,Q01618,0.0,0,1,2.0,0.0
471,Q01620,0.0,0,3,3.0,0.0
472,Q01625,2.0,0,5,10.0,0.0
473,Q01627,0.0,0,0,13.0,0.0
474,Q01628,1.0,0,0,16.0,0.0
475,Q01629,2.0,2,3,2.0,0.0
476,Q01634,0.0,2,4,4.0,0.0
477,Q01635,0.0,0,0,17.0,0.0
478,Q01637,0.0,2,0,3.0,0.0
479,Q01643,0.0,0,4,3.0,0.0
480,Q01646,0.0,6,0,0.0,0.0
481,Q01649,2.0,0,6,7.0,0.0
482,Q01650,0.0,2,6,9.0,0.0
483,Q01652,3.0,10,0,0.0,5.0
484,Q01653,0.0,0,6,7.0,0.0
485,Q01658,0.0,2,0,8.0,0.0
486,Q01659,0.0,0,0,11.0,0.0
487,Q01664,0.0,0,0,0.0,0.0
488,Q01666,0.0,0,4,8.0,0.0
489,Q01670,0.0,0,0,13.0,0.0
490,Q01675,0.0,2,4,1.0,0.0
491,Q01677,9.0,0,7,0.0,0.0
492,Q01680,0.0,0,0,16.0,0.0
493,Q01687,0.0,0,0,8.0,0.0
494,Q01689,0.0,2,4,4.0,0.0
495,Q01693,0.0,0,3,7.0,0.0
496,Q01694,0.0,0,7,5.0,0.0
497,Q01696,0.0,0,0,15.0,0.0
498,Q01701,0.0,2,0,11.0,0.0
499,Q01703,0.0,1,6,13.0,0.0
500,Q01706,2.0,0,12,7.0,0.0
501,Q01707,0.0,2,1,11.0,0.0
502,Q01712,1.0,0,2,13.0,0.0
503,Q01723,0.0,1,0,7.0,0.0
504,Q01725,0.0,8,0,0.0,0.0
505,Q01726,0.0,2,0,17.0,0.0
506,Q01727,0.0,1,0,2.0,0.0
507,Q01729,1.0,0,3,10.0,0.0
508,Q01736,0.0,0,0,3.0,0.0
509,Q01738,0.0,1,4,3.0,0.0
510,Q01741,1.0,0,0,22.0,0.0
511,Q01743,0.0,2,9,6.0,0.0
512,Q01746,0.0,1,0,14.0,0.0
513,Q01747,1.0,2,0,29.0,0.0
514,Q01751,0.0,0,0,18.0,0.0
515,Q01755,1.0,1,0,8.0,0.0
516,Q01756,0.0,0,4,3.0,0.0
517,Q01757,0.0,1,0,11.0,0.0
518,Q01760,0.0,0,4,2.0,0.0
519,Q01763,0.0,2,4,3.0,0.0
520,Q01765,0.0,0,4,7.0,0.0
521,Q01767,3.0,1,4,5.0,0.0
522,Q01768,2.0,2,0,121.0,0.0
523,Q01770,0.0,2,6,8.0,0.0
524,Q01773,0.0,0,0,18.0,0.0
525,Q01775,1.0,0,0,132.0,0.0
526,Q01777,0.0,0,0,8.0,0.0
527,Q01778,1.0,2,4,1.0,0.0
528,Q01779,0.0,0,7,5.0,0.0
529,Q01781,0.0,1,0,5.0,0.0
530,Q01784,0.0,2,0,3.0,0.0
531,Q01788,0.0,0,0,18.0,0.0
532,Q01790,0.0,0,4,7.0,0.0
533,Q01798,0.0,0,4,4.0,0.0
534,Q01800,0.0,0,0,7.0,0.0
535,Q01803,2.0,0,1,0.0,0.0
536,Q01807,1.0,0,4,10.0,0.0
537,Q01810,0.0,0,6,6.0,0.0
538,Q01814,0.0,0,4,4.0,0.0
539,Q01815,0.0,0,1,7.0,0.0
540,Q01817,0.0,0,0,5.0,0.0
541,Q01821,0.0,2,4,3.0,0.0
542,Q01824,0.0,2,7,4.0,0.0
543,Q01826,0.0,2,0,2.0,0.0
544,Q01834,0.0,15,4,4.0,0.0
545,Q01835,0.0,0,9,8.0,0.0
546,Q01836,0.0,0,4,10.0,0.0
547,Q01845,0.0,0,6,4.0,0.0
548,Q01846,0.0,14,4,0.0,0.0
549,Q01848,0.0,0,3,3.0,0.0
550,Q01849,0.0,2,9,2.0,0.0
551,Q01850,0.0,1,0,5.0,0.0
552,Q01855,0.0,1,0,2.0,0.0
553,Q01856,3.0,4,1,0.0,5.0
554,Q01858,1.0,2,7,6.0,0.0
555,Q01861,0.0,1,4,10.0,0.0
556,Q01862,0.0,1,4,7.0,0.0
557,Q01869,0.0,2,4,2.0,0.0
558,Q01873,0.0,11,6,0.0,0.0
559,Q01875,0.0,16,0,0.0,0.0
560,Q01876,0.0,0,0,10.0,0.0
561,Q01882,0.0,0,6,12.0,0.0
562,Q01886,0.0,2,0,7.0,0.0
563,Q01888,0.0,0,4,8.0,0.0
564,Q01893,0.0,0,7,5.0,0.0
565,Q01894,0.0,2,4,2.0,0.0
566,Q01895,1.0,1,6,8.0,0.0
567,Q01907,0.0,0,4,2.0,0.0
568,Q01908,1.0,0,0,15.0,0.0
569,Q01909,0.0,0,2,7.0,0.0
570,Q01910,0.0,0,4,15.0,0.0
571,Q01911,0.0,2,0,21.0,0.0
572,Q01915,0.0,1,4,5.0,0.0
573,Q01918,0.0,1,6,6.0,0.0
574,Q01920,0.0,1,6,10.0,0.0
575,Q01921,0.0,2,0,34.0,0.0
576,Q01923,4.0,0,1,0.0,0.0
577,Q01925,2.0,2,7,75.0,0.0
578,Q01928,0.0,17,0,0.0,0.0
579,Q01934,0.0,0,0,5.0,0.0
580,Q01936,0.0,0,0,8.0,0.0
581,Q01937,0.0,2,0,7.0,0.0
582,Q01939,0.0,0,0,5.0,0.0
583,Q01943,0.0,0,0,3.0,0.0
584,Q01944,0.0,2,1,2.0,0.0
585,Q01948,0.0,0,6,8.0,0.0
586,Q01950,0.0,0,0,3.0,0.0
587,Q01959,0.0,2,5,9.0,0.0
588,Q01961,2.0,0,1,2.0,0.0
589,Q01964,0.0,1,0,10.0,0.0
590,Q01965,1.0,14,6,0.0,0.0
591,Q01971,0.0,2,7,8.0,0.0
592,Q01972,0.0,2,4,4.0,0.0
593,Q01980,0.0,0,4,7.0,0.0
594,Q01983,0.0,0,4,5.0,0.0
595,Q01984,0.0,2,6,6.0,0.0
596,Q01987,0.0,2,3,3.0,0.0
597,Q01990,2.0,0,4,21.0,0.0
598,Q01991,1.0,2,7,3.0,0.0
599,Q01996,0.0,2,0,3.0,0.0
600,Q01997,0.0,0,0,17.0,0.0
601,Q01999,1.0,0,4,3.0,0.0
602,Q02003,0.0,2,3,2.0,0.0
603,Q02004,2.0,0,0,62.0,0.0
