,小微企业ID,主管税务机关数字_1,主管税务机关数字_2,主管税务机关数字_3
139,Q09046,0,0,1
140,Q09100,1,0,0
141,Q09116,2,0,0
142,Q09179,0,0,1
143,Q09260,0,0,1
144,Q09308,0,3,0
145,Q09380,1,0,0
146,Q09395,1,0,0
147,Q09432,1,1,0
148,Q09485,1,0,0
149,Q09491,1,0,0
150,Q09587,0,0,1
151,Q09679,1,0,1
152,Q09687,0,0,1
153,Q09696,0,0,1
154,Q09701,1,1,0
155,Q09884,0,0,1
156,Q09897,1,0,0
157,Q09965,1,0,0
158,Q10163,1,0,0
159,Q10166,0,0,1
160,Q10341,1,0,0
161,Q10368,0,0,1
162,Q10403,0,0,1
163,Q10412,0,0,1
164,Q10421,0,0,1
165,Q10506,2,0,0
166,Q10620,1,1,0
167,Q10622,0,0,1
168,Q10827,0,0,1
169,Q10867,0,0,1
170,Q10958,2,0,0
171,Q11009,1,0,0
172,Q11113,1,0,0
173,Q11123,0,0,1
174,Q11162,1,0,0
175,Q11269,2,0,0
176,Q11387,0,0,1
177,Q11448,1,0,0
178,Q11517,1,0,0
179,Q11526,1,0,0
180,Q11534,0,0,1
181,Q11615,1,0,1
182,Q11629,1,0,0
183,Q11658,1,0,1
184,Q11722,1,0,0
185,Q11831,1,0,0
186,Q11939,1,0,0
187,Q12191,1,0,0
188,Q12219,1,0,0
189,Q12222,3,0,0
190,Q12322,0,1,0
191,Q12498,0,0,1
192,Q12503,1,0,0
193,Q12577,1,0,0
194,Q12637,0,0,1
195,Q12644,1,0,1
196,Q12645,1,0,1
197,Q12647,0,1,0
198,Q12778,2,0,0
199,Q12808,0,0,1
200,Q12835,1,0,0
201,Q12877,1,0,0
202,Q12899,1,0,0
203,Q19807,1,0,0
204,Q20040,1,0,0
205,Q31751,0,1,1
206,Q40874,1,0,0
207,Q48210,1,0,0
208,Q54068,0,2,1
209,Q62993,1,0,1
210,Q63327,1,0,0
211,Q63328,0,0,1
212,Q63341,1,0,0
213,Q63490,0,0,1
214,Q63557,1,0,1
215,Q63563,1,0,0
216,Q63593,0,1,0
217,Q63617,0,1,0
218,Q63666,0,1,0
219,Q63709,1,0,0
220,Q63878,0,0,1
221,Q63951,1,0,0
222,Q64098,0,0,1
223,Q64133,0,0,1
224,Q64134,0,0,1
225,Q64288,1,0,0
226,Q64346,0,0,1
227,Q64355,1,0,0
228,Q64363,0,0,1
229,Q64440,1,0,0
230,Q64622,0,2,0
231,Q64845,0,0,1
232,Q65011,1,0,0
233,Q65085,0,1,0
234,Q65199,1,0,0
235,Q65276,1,0,1
236,Q65303,0,1,0
237,Q65328,1,0,0
238,Q65416,1,0,0
239,Q65477,1,0,0
240,Q65489,0,0,1
